Trait,Trait_Info,Paper_ID,Cohort_ID,Rodent_type,Strain,Shared_Control,F0_Parent_Exposed,Lineage_HFD,Exposure_Type,F2_Diet_at_measurement,Age_Days,Sex,Generation,Mean_Control,SD_Control,SEM_Control,Sample_Size_n_Control,Estimated_or_Exact_sample_control.,Mean_Treatment,SD_Treatment,SEM_Treatment,Sample_Size_n_Treatment,Estimated_or_Exact_sample_treatment..,Source,Group_Label_Paper,yi,vi
Adiposity,Retroperitoneal WAT,Barbosa2016,Barbosa2016mfmfM,Rat,SD,4,Male,m-fm-f,Multigenerational,HFD,84,Female,F2,4.1,0.670820393,0.3,5,Exact,11.6,2.236067977,1,5,Exact,Supp Table T4,"GpatCD-CD(Control), GpatHF-HF(Treatment)",0.16395468,0.262785585
Adiposity,Brown Adipose Tissue,Barbosa2016,Barbosa2016mfmfM,Rat,SD,5,Male,m-fm-m,Multigenerational,HFD,84,Male,F2,411.1,141.6817561,40.9,12,Estimate,588.4,189.8327685,54.8,12,Estimate,Supp Table T6,"GpatCD-CD(Control), GpatHF-HF(Treatment)",-0.066010364,0.109481114
Adiposity,Mesenteric White Adipose Tissue,Barbosa2016,Barbosa2016mfmfM,Rat,SD,6,Male,m-fm-m,Multigenerational,HFD,84,Male,F2,5.6,1.732050808,0.5,12,Estimate,10.2,4.156921938,1.2,12,Estimate,Supp Table T6,"GpatCD-CD(Control), GpatHF-HF(Treatment)",0.275847615,0.11272186
Adiposity,Gonadal WAT,Barbosa2016,Barbosa2016mfmfM,Rat,SD,7,Male,m-fm-m,Multigenerational,HFD,84,Male,F2,9.2,3.117691454,0.9,12,Estimate,20.8,6.235382907,1.8,12,Estimate,Supp Table T6,"GpatCD-CD(Control), GpatHF-HF(Treatment)",-0.122602322,0.10796794
Adiposity,Retroperitoneal WAT,Barbosa2016,Barbosa2016mfmfM,Rat,SD,8,Male,m-fm-m,Multigenerational,HFD,84,Male,F2,9.41,2.979127389,0.86,12,Estimate,26,7.274613392,2.1,12,Estimate,Supp Table T6,"GpatCD-CD(Control), GpatHF-HF(Treatment)",-0.12356335,0.105785282
Leptin,Serum,Barbosa2016,Barbosa2016mfmfM,Rat,SD,1,Male,m-fm-f,Multigenerational,HFD,84,Female,F2,10.4,3.968626967,1.5,7,Estimate,13.1,4.233202098,1.6,7,Estimate,Supp,"GpatCD-CD(Control), GpatHF-HF(Treatment)",-0.166267903,0.202386727
Leptin,Serum,Barbosa2016,Barbosa2016mfmfM,Rat,SD,2,Male,m-fm-m,Multigenerational,HFD,84,Male,F2,8.8,2.645751311,1,18,Estimate,16.3,6.363961031,1.5,18,Estimate,Supp,"GpatCD-CD(Control), GpatHF-HF(Treatment)",0.261282526,0.072313854
Triglycerides,Plasma Triglyceride,Barbosa2016,Barbosa2016mfmfM,Rat,SD,1,Male,m-fm-f,Multigenerational,HFD,84,Female,F2,1.1,0.529150262,0.2,7,Estimate,2.3,0.793725393,0.3,7,Estimate,Supp,"GpatCD-CD(Control), GpatHF-HF(Treatment)",-0.332133835,0.21673775
Triglycerides,Plasma Triglyceride,Barbosa2016,Barbosa2016mfmfM,Rat,SD,2,Male,m-fm-f,Multigenerational,HFD,84,Male,F2,1.6,0.848528137,0.2,18,Estimate,2.4,0.848528137,0.2,18,Estimate,Supp,"GpatCD-CD(Control), GpatHF-HF(Treatment)",-0.405465108,0.081392974
Body_Weight,None,Ding2014,Li2012b,Mouse,C57BL/6,1,Female,f-f-f,Multigenerational,HFD,270,Female,F2,25.3,1.8,0.9,4,Estimate,65.38,7.64151,2.55,9,Estimate,Supp Table 1;Figure 1,NCF2 (Control) HFF2(Treatment),0.39222989,0.231949954
Body_Weight,None,Ding2014,Li2012b,Mouse,C57BL/6,2,Female,f-f-f,Multigenerational,HFD,19,Female,F2,6.545455,2.060606,1.030303,4,Estimate,7.88,4.181817,1.39,9,Estimate,Figure 1,NCF2 (Control) HFF2(Treatment),0.418022072,0.285235882
Glucose,FBG,Ding2014,Li2012b,Mouse,C57BL/6,1,Female,f-f-f,Multigenerational,NA,270,Female,F2,7.1,1.1,0.55,4,Estimate,8.9,0.4,0.133333333,9,Estimate,Supp Table 1 and 2,"NC F2(Control), HF F2 (Treatment)",-1.341724071,0.235391899
Insulin,Fasting_Insulin,Ding2014,Li2012b,Mouse,C57BL/6,1,Female,f-f-f,Multigenerational,NA,270,Female,F2,0.187012987,0.058441558,0.019480519,9,Estimate,1.601298701,1.694805195,0.564935065,9,Estimate,Fig2A,"NC F2(Control), HF F2 (Treatment)",1.219903634,0.260317161
Adiposity,Parametrial Fat Weight,Ding2014,Li2012b,Mouse,C57BL/6,1,Female,f-f-f,Multigenerational,HFD,270,Female,F2,230,10,5,4,Estimate,3030,420,141,9,Estimate,Supp Table and Fig 1b in paper,NCF2 (Control) HFF2(Treatment),1.055264362,0.231774123
Leptin,Serum,Ding2014,Li2012b,Mouse,C57BL/6,1,Female,f-f-f,Multigenerational,NA,270,Female,F2,2.39,3.87,1.29,9,Estimate,107.85,17.67,5.89,9,Estimate,Fig2b,"NC F2(Control), HF F2 (Treatment)",-2.290834228,0.419311501
Body_Weight,None,Dunn2009,Dunn2009ffm,Mouse,C57BL/6,1,Female,f-f-m,Multigenerational,HFD,98,Male,F2,30.76642336,2.867693618,0.766423358,14,Exact,29.45,1.58,0.44,13,Exact,Fig 2F,2Ch(Control) 2HF(M) (Treatment),-0.549148079,0.080970176
Body_Weight,None,Dunn2009,Dunn2009fff,Mouse,C57BL/6,2,Female,f-f-f,Multigenerational,HFD,98,Female,F2,21.55555556,1.474055462,0.444444444,11,Exact,21.33,1.84,0.56,11,Exact,Fig 2G,2Ch(Control) 2HF(M) (Treatment),0.232267201,0.101101615
Body_Weight,None,Dunn2009,Dunn2009fmm,Mouse,C57BL/6,1,Female,f-m-m,Multigenerational,HFD,98,Male,F2,30.76642336,2.867693618,0.766423358,14,Exact,28.8,2.28,0.66,12,Exact,Fig 2F,2Ch(Control) 2HF(P) (Treatment),-0.156291082,0.085058924
Body_Weight,None,Dunn2009,Dunn2009fmf,Mouse,C57BL/6,2,Female,f-m-f,Multigenerational,HFD,98,Female,F2,21.55555556,1.474055462,0.444444444,11,Exact,22.56,6.54,1.89,12,Exact,Fig 2G,2Ch(Control) 2HF(P) (Treatment),1.439829446,0.102882863
Body_Weight,None,Dunn2009,Dunn2009ffmm,Mouse,C57BL/6,1,Female,f-fm-m,Multigenerational,HFD,98,Male,F2,30.76642336,2.867693618,0.766423358,14,Exact,31.86,7.12,2.52,8,Exact,Fig 2F,2Ch(Control) 2HF(MP) (Treatment),0.907439309,0.116753456
Body_Weight,None,Dunn2009,Dunn2009ffmf,Mouse,C57BL/6,2,Female,f-fm-f,Multigenerational,HFD,98,Female,F2,21.55555556,1.474055462,0.444444444,11,Exact,23.22,2.33,0.78,9,Exact,Fig 2G,2Ch(Control) 2HF(MP) (Treatment),0.395970453,0.114043905
Body_Weight,None,Dunn2009,Dunn2009ffm,Mouse,C57BL/6,1,Female,f-f-m,Multigenerational,HFD,42,Male,F2,19.28852508,1.744459868,0.466226511,14,Exact,19.44,1.68,0.47,13,Exact,Fig 2F,2Ch(Control) 2HF(M) (Treatment),-0.04226849,0.081286942
Body_Weight,None,Dunn2009,Dunn2009fff,Mouse,C57BL/6,2,Female,f-f-f,Multigenerational,HFD,42,Female,F2,16.18034834,1.546298404,0.466226511,11,Exact,16.18,1.55,0.47,11,Exact,Fig 2G,2Ch(Control) 2HF(M) (Treatment),0.002412511,0.101664551
Body_Weight,None,Dunn2009,Dunn2009fmm,Mouse,C57BL/6,1,Female,f-m-m,Multigenerational,HFD,42,Male,F2,19.28852508,1.744459868,0.466226511,14,Exact,20.22,2.69,0.78,12,Exact,Fig 2F,2Ch(Control) 2HF(P) (Treatment),0.392927374,0.085975225
Body_Weight,None,Dunn2009,Dunn2009fmf,Mouse,C57BL/6,2,Female,f-m-f,Multigenerational,HFD,42,Female,F2,16.18034834,1.546298404,0.466226511,11,Exact,16.96,2.15,0.62,12,Exact,Fig 2G,2Ch(Control) 2HF(P) (Treatment),0.277998249,0.097624009
Body_Weight,None,Dunn2009,Dunn2009ffmm,Mouse,C57BL/6,1,Female,f-fm-m,Multigenerational,HFD,42,Male,F2,19.28852508,1.744459868,0.466226511,14,Exact,20.84,2.2,0.78,8,Exact,Fig 2F,2Ch(Control) 2HF(MP) (Treatment),0.187615564,0.111867384
Body_Weight,None,Dunn2009,Dunn2009ffmf,Mouse,C57BL/6,2,Female,f-fm-f,Multigenerational,HFD,42,Female,F2,16.18034834,1.546298404,0.466226511,11,Exact,16.96,1.86,0.62,9,Exact,Fig 2G,2Ch(Control) 2HF(MP) (Treatment),0.150152349,0.114666653
Glucose,GTT,Dunn2009,Dunn2009ffm,Mouse,C57BL/6,1,Female,f-f-m,Multigenerational,HFD,126,Male,F2,27220.58824,3063.02521,1531.512605,4,Exact,27277.31092,7203.558191,2722.689076,7,Exact,Fig3,2Ch(Control) 2HF(M) (Treatment),0.769757058,0.263128593
Glucose,GTT,Dunn2009,Dunn2009fff,Mouse,C57BL/6,2,Female,f-f-f,Multigenerational,HFD,126,Female,F2,17621.28713,2075.558147,928.2178218,5,Exact,18623.76238,2455.552836,1002.475248,6,Exact,Fig3,2Ch(Control) 2HF(M) (Treatment),0.087791174,0.230672181
Glucose,GTT,Dunn2009,Dunn2009fmm,Mouse,C57BL/6,1,Female,f-m-m,Multigenerational,HFD,126,Male,F2,27220.58824,3063.02521,1531.512605,4,Exact,24781.51274,2268.907562,1134.453781,4,Exact,Fig3,2Ch(Control) 2HF(P) (Treatment),-0.206228907,0.338594507
Glucose,GTT,Dunn2009,Dunn2009fmf,Mouse,C57BL/6,2,Female,f-m-f,Multigenerational,HFD,126,Female,F2,17621.28713,2075.558147,928.2178218,5,Exact,19310.64356,3118.811881,1559.405941,4,Exact,Fig3,2Ch(Control) 2HF(P) (Treatment),0.357339928,0.300962581
Glucose,GTT,Dunn2009,Dunn2009ffmm,Mouse,C57BL/6,1,Female,f-fm-m,Multigenerational,HFD,126,Male,F2,27220.58824,3063.02521,1531.512605,4,Exact,25518.90756,2663.551561,1191.176471,5,Exact,Fig3,2Ch(Control) 2HF(MP) (Treatment),-0.116855362,0.297011048
Glucose,GTT,Dunn2009,Dunn2009ffmf,Mouse,C57BL/6,2,Female,f-fm-f,Multigenerational,HFD,126,Female,F2,17621.28713,2075.558147,928.2178218,5,Exact,20554.45545,2864.811642,1169.554455,6,Exact,Fig3,2Ch(Control) 2HF(MP) (Treatment),0.143302439,0.231012397
Insulin,ITT,Dunn2009,Dunn2009ffm,Mouse,C57BL/6,1,Female,f-f-m,Multigenerational,HFD,126,Male,F2,80.38636364,17.87014108,7.295454545,6,Estimate,103.125,19.28973172,7.875,6,Estimate,NA,2Ch(Control) 2HF(M) (Treatment),-0.172655594,0.214067853
Insulin,ITT,Dunn2009,Dunn2009ffm,Mouse,C57BL/6,1,Female,f-f-m,Multigenerational,HFD,126,Male,F2,79.63793103,18.49787082,7.551724138,6,Estimate,101.7413793,24.57936259,10.03448276,6,Estimate,NA,2Ch(Control) 2HF(M) (Treatment),0.039307941,0.218719272
Insulin,ITT,Dunn2009,Dunn2009ffm,Mouse,C57BL/6,1,Female,f-f-m,Multigenerational,HFD,126,Male,F2,80.38636364,17.87014108,7.295454545,6,Estimate,104.0795455,27.55675961,11.25,6,Estimate,NA,2Ch(Control) 2HF(M) (Treatment),0.174805727,0.219919983
Insulin,ITT,Dunn2009,Dunn2009ffm,Mouse,C57BL/6,1,Female,f-f-m,Multigenerational,HFD,126,Male,F2,79.63793103,18.49787082,7.551724138,6,Estimate,103.362069,29.47834208,12.03448276,6,Estimate,NA,2Ch(Control) 2HF(M) (Treatment),0.205252635,0.222547946
Insulin,ITT,Dunn2009,Dunn2009ffm,Mouse,C57BL/6,1,Female,f-f-m,Multigenerational,HFD,126,Male,F2,80.38636364,17.87014108,7.295454545,6,Estimate,93.47727273,23.46499833,9.579545455,6,Estimate,NA,2Ch(Control) 2HF(M) (Treatment),0.121504875,0.218738586
Insulin,ITT,Dunn2009,Dunn2009ffm,Mouse,C57BL/6,1,Female,f-f-m,Multigenerational,HFD,126,Male,F2,79.63793103,18.49787082,7.551724138,6,Estimate,92.67241379,23.48131547,9.586206897,6,Estimate,NA,2Ch(Control) 2HF(M) (Treatment),0.086969041,0.219692136
Body_Weight,None,Giraudo2010,Giraudo2010F2,Mouse,C57BL/6,1,Female,f-f-fm,Multigenerational,HFD,21,Both,F2,13.082353,0.97809931,0.1882353,27,Estimate,9.95,1.47181588,0.21,50,Estimate,Figure 4,"Chow Gen 2 (Control), HF Gen 2 (Treatment)",0.673305985,0.030079493
Body_Weight,None,Giraudo2010,Giraudo2010F3,Mouse,C57BL/6,2,Female,f-f-f-fm,Multigenerational,HFD,21,Both,F3,12.047059,2.074861842,0.4235294,24,Estimate,11.44,1.717118527,0.24,50,Estimate,Figure 4,"Chow Gen 3 (Control), HF Gen 3 (Treatment)",-0.149077429,0.033629761
Body_Weight,None,Giraudo2010,Giraudo2010F2,Mouse,C57BL/6,1,Female,f-f-fm,Multigenerational,HFD,77,Both,F2,23.417085,3.133358373,0.6030151,27,Estimate,23.32,4.263960664,0.6,50,Estimate,Figure 4,"Chow Gen 2 (Control), HF Gen 2 (Treatment)",0.303220905,0.030766619
Body_Weight,None,Giraudo2010,Giraudo2010F3,Mouse,C57BL/6,2,Female,f-f-f-fm,Multigenerational,HFD,77,Both,F3,22.41206,1.477079057,0.3015075,24,Estimate,24.62,3.553300671,0.5,50,Estimate,Figure 4,"Chow Gen 3 (Control), HF Gen 3 (Treatment)",0.772315448,0.032540792
Body_Weight,None,Gniuli2008,Gniuli2008M,Mouse,Swiss,1,Female,f-f-fm,Multigenerational,Standard,60,Both,F2,28.3,25.93067681,8.2,10,Estimate,22.1,13.91,4.4,10,Estimate,Table 1,"CF2C(Control), HFF2HF(Treatment)",-0.375534499,0.234683626
Insulin,ITT,Gniuli2008,Gniuli2008M,Mouse,Swiss,1,Female,f-f-fm,Multigenerational,Standard,60,Both,F2,1264.957265,444.4444444,140.5456738,10,Estimate,444.4444444,512.8205128,162.1680851,10,Estimate,NA,"CF2C(Control), HFF2HF(Treatment)",1.189069399,0.256591983
Body_Weight,None,Hoile2015,Hoile2015,Mouse,C57BL/6,1,Female,f-f-f,Multigenerational,HFD,90,Female,F3,20.37736,0.693251893,0.2830189,6,Estimate,22.08,2.773007325,1.13,6,Estimate,Figure1A,5% F3(D90) 21% F3(D90),1.306046531,0.202821672
Body_Weight,None,Hoile2015,Hoile2015,Mouse,C57BL/6,2,Female,f-f-f,Multigenerational,HFD,456,Female,F3,28.58491,2.079755433,0.8490566,6,Estimate,32.26,2.773007325,1.13,6,Estimate,Figure1A,5% F3(D456) 21% F3 (D456),0.166732985,0.202113731
Body_Weight,None,Huang2017,Huang2017,Rat,SD,1,Female,f-f-fm,Multigenerational,Standard,1,Both,F2,5.8,0.489897949,0.2,6,Exact,6.2,0.49,0.2,6,Exact,Table 3,"F2-SC(Control), F2-HF(Treatment)",-0.066483085,0.202230077
Body_Weight,None,Huang2017,Huang2017,Rat,SD,2,Female,f-f-fm,Multigenerational,Standard,21,Both,F2,43.9,12.98229564,5.3,6,Exact,55.7,22.78,9.3,6,Exact,Table 3,"F2-SC(Control), F2-HF(Treatment)",0.324230576,0.242452459
Body_Weight,None,Huang2017,Huang2017,Rat,SD,3,Female,f-f-fm,Multigenerational,Standard,84,Both,F2,328.8,117.3305587,47.9,6,Exact,391.6,84.26,34.4,6,Exact,Table 3,"F2-SC(Control), F2-HF(Treatment)",-0.50587923,0.228939281
Glucose,FBG,Huang2017,Huang2017,Rat,SD,1,Female,f-f-fm,Multigenerational,Standard,21,Both,F2,4.6,0.979795897,0.4,6,Exact,6.2,1.224744871,0.5,6,Exact,Table4,"F2-SC(Control), F2-HF(Treatment)",-0.075349437,0.214065079
Glucose,FBG,Huang2017,Huang2017,Rat,SD,2,Female,f-f-fm,Multigenerational,Standard,84,Both,F2,5.3,0.930806102,0.3,6,Exact,5.8,0.734846923,0.3,6,Exact,Table4,"F2-SC(Control), F2-HF(Treatment)",-0.326539875,0.207816006
Body_Weight,None,Li2012,Li2012a,Mouse,C57BL/6,1,Female,f-f-f,Multigenerational,HFD,90,Male,F2,25.1,1.5,0.530330086,8,Estimate,52.4,6.4,2.13,9,Estimate,Table 1 and Supp Table 1,NCF2 (Control) HFF2(Treatment),0.705865566,0.136032498
Glucose,GTT,Li2012,Li2012a,Mouse,C57BL/6,1,Female,f-f-fm,Multigenerational,HFD,90,Male,F2,1262.025316,275.9493671,123.4083086,5,Estimate,2431.64557,412.6582278,184.5463698,5,Estimate,Fig1,NCF2 (Control) HFF2(Treatment),-0.253448074,0.265321927
Insulin,ITT,Li2012,Li2012a,Mouse,C57BL/6,1,Female,f-f-fm,Multigenerational,HFD,90,Male,F2,3407.608696,352.173913,157.4969619,5,Estimate,5550,1041.847826,465.9285123,5,Estimate,Fig 1,NCF2 (Control) HFF2(Treatment),0.596838902,0.259183999
Insulin,Fasting_Insulin,Li2012,Li2012a,Mouse,C57BL/6,1,Female,f-f-fm,Multigenerational,HFD,90,Male,F2,0.11,0.13,0.06,5,Estimate,2.29,1.37,0.6,5,Estimate,Table 1,NCF2 (Control) HFF2(Treatment),-0.680795162,0.600920239
Adiposity,Epididymal Fat Weight,Li2012,Li2012a,Mouse,C57BL/6,1,Female,f-f-f,Multigenerational,HFD,90,Male,F2,180,90,30,9,Estimate,1330,960,320,9,Estimate,Table 1 and Supp data,NCF2 (Control) HFF2(Treatment),0.367146244,0.210666861
Leptin,Serum,Li2012,Li2012a,Mouse,C57BL/6,1,Female,f-f-fm,Multigenerational,HFD,90,Male,F2,1.19,1.2,30,9,Estimate,63.8,3.8,1.266666667,9,Estimate,Table 1,NCF2 (Control) HFF2(Treatment),-2.829120373,0.238380541
Triglycerides,Serum Triglyceride,Li2012,Li2012a,Mouse,C57BL/6,1,Female,f-f-m,Multigenerational,HFD,90,Male,F2,21.3,5,NA,9,Estimate,32.7,11.6,NA,9,Estimate,Table 1,NCF2 (Control) HFF2(Treatment),0.41289918,0.145104913
Body_Weight,None,Masuyama2015,Masuyama2015a,Mouse,ICR,1,Female,f-f-f,Multigenerational,Standard,168,Female,F2,32.78146,1.19,0.3441161,12,Exact,45,2.086092731,0.6,12,Exact,Figure 2,D (Control throughout) A (Treatment),0.244540124,0.09119799
Body_Weight,None,Masuyama2015,Masuyama2015a,Mouse,ICR,1,Female,f-f-f,Multigenerational,Standard,28,Female,F2,12.44726,4.236253,1.2229009,12,Exact,12.94,4.24,1.22,12,Exact,Figure 2,D (Control throughout) A (Treatment),-0.037938654,0.109508576
Glucose,GTT,Masuyama2015,Masuyama2015a,Mouse,ICR,1,Female,f-f-f,Multigenerational,Standard,168,Female,F2,17194.73684,4867.974375,1405.263158,12,Exact,28342.10526,5852.508518,1689.473684,12,Exact,Fig3,D (Control throughout) A (Treatment),-0.315552713,0.101141643
Adiposity,Fat Mass/Body Weight Ratio,Masuyama2015,Masuyama2015a,Mouse,ICR,1,Female,f-f-f,Multigenerational,Standard,168,Female,F2,0.18,0.06,0.02,12,Exact,0.38,0.11,0.03,12,Exact,Fig 2,D (Control) A (Treatment),-0.141078598,0.107151268
Leptin,Serum,Masuyama2015,Masuyama2015a,Mouse,ICR,1,Female,f-f-f,Multigenerational,Standard,84,Female,F2,0.229896907,0.107137163,0.030927835,12,Exact,0.54742268,0.278556625,0.080412371,12,Exact,Fig 4C,D (Control throughout) A (Treatment),0.087921195,0.130584635
Leptin,Serum,Masuyama2015,Masuyama2015a,Mouse,ICR,2,Female,f-f-f,Multigenerational,Standard,168,Female,F2,0.209278351,0.078567253,0.022680412,12,Exact,0.565979381,0.249986714,0.072164948,12,Exact,Fig 4C,D (Control throughout) A (Treatment),0.162560326,0.118911509
Triglycerides,Serum Triglyceride,Masuyama2015,Masuyama2015a,Mouse,ICR,1,Female,f-f-f,Multigenerational,Standard,84,Female,F2,153.03,68.23,19.7,12,Exact,389.39,94.48,27.27,12,Exact,NA,D (Control throughout) A (Treatment),-0.60844361,0.112381056
Triglycerides,Serum Triglyceride,Masuyama2015,Masuyama2015a,Mouse,ICR,1,Female,f-f-f,Multigenerational,Standard,288,Female,F2,160.61,47.24,13.64,12,Exact,489.39,136.46,39.39,12,Exact,NA,D (Control throughout) A (Treatment),-0.053390111,0.104597564
Body_Weight,None,Masuyama2016,Masuyama2016mmmf,Mouse,ICR,1,Male,m-m-m-f,Multigenerational,Standard,196,Female,F3,33.57513,4.038460402,1.1658031,12,Exact,36.94,3.141024949,0.91,12,Exact,Fig 4,"I(Control), III(Treatment) -  Females",-0.346823728,0.092717238
Body_Weight,None,Masuyama2016,Masuyama2016mmmf,Mouse,ICR,1,Male,m-m-m-f,Multigenerational,Standard,196,Female,F3,33.57513,4.038460402,1.1658031,12,Exact,38.5,4.487178301,1.3,12,Exact,Fig 4,"I(Control), IV(Treatment) - Females",-0.031512094,0.093246717
