"","Trait","Trait_Info","Paper_ID","Cohort_ID","Rodent_type","Strain","Shared_Control","F0_Parent_Exposed","Lineage_HFD","Exposure_Type","F2_Diet_at_measurement","Age_Days","Sex","Generation","Mean_Control","SD_Control","SEM_Control","Sample_Size_n_Control","Estimated_or_Exact_sample_control.","Mean_Treatment","SD_Treatment","SEM_Treatment","Sample_Size_n_Treatment","Estimated_or_Exact_sample_treatment..","Source","Group_Label_Paper","yi","vi"
"11","Body_Weight","None","Dunn2011","Dunn2011fmff","Mouse","C57BL/6",2,"Female","f-m-f-f","One off","Standard",140,"Female","F3",22.45614035,0.644602564,0.263157895,6,"Estimate",22.72,0.64,0.26,6,"Estimate","Fig 3","Female chow (Control) 3hf(maternal)female (treatment)",0.0116815048129003,0.000269577994035493
"12","Body_Weight","None","Dunn2011","Dunn2011fmmf","Mouse","C57BL/6",2,"Female","f-m-m-f","One off","Standard",140,"Female","F3",22.45614035,0.644602564,0.263157895,6,"Estimate",23.55,1.4,0.57,6,"Estimate","Fig 3","Female chow (Control) 3hf(paternal)female (treatment)",0.0475617314223766,0.00072633954904252
"13","Body_Weight","None","Dunn2011","Dunn2011fmfm","Mouse","C57BL/6",1,"Female","f-m-f-m","One off","Standard",21,"Male","F3",9.84375,1.530931089,0.625,6,"Estimate",10,1.15,0.47,6,"Estimate","Fig 3","Male chow (Control) 3hf(maternal)male (treatment)",0.0157483569681391,0.00623540879188566
"14","Body_Weight","None","Dunn2011","Dunn2011fmmm","Mouse","C57BL/6",1,"Female","f-m-m-m","One off","Standard",21,"Male","F3",9.84375,1.530931089,0.625,6,"Estimate",10.47,1.53,0.62,6,"Estimate","Fig 3","Male chow (Control) 3hf(paternal)male (treatment)",0.061677288856539,0.00759032620498845
"15","Body_Weight","None","Dunn2011","Dunn2011fmff","Mouse","C57BL/6",2,"Female","f-m-f-f","One off","Standard",21,"Female","F3",9.189189189,1.32404851,0.540540541,6,"Estimate",9.46,0.99,0.41,6,"Estimate","Fig 3","Female chow (Control) 3hf(maternal)female (treatment)",0.0290446781183926,0.00528551859353194
"16","Body_Weight","None","Dunn2011","Dunn2011fmmf","Mouse","C57BL/6",2,"Female","f-m-m-f","One off","Standard",21,"Female","F3",9.189189189,1.32404851,0.540540541,6,"Estimate",9.86,0.99,0.41,6,"Estimate","Fig 3","Female chow (Control) 3hf(paternal)female (treatment)",0.0704584636691497,0.00514042436104181
"17","Body_Weight","None","Dunn2009","Dunn2009ffm","Mouse","C57BL/6",1,"Female","f-f-m","Multigenerational","HFD",98,"Male","F2",30.76642336,2.867693618,0.766423358,14,"Exact",29.45,1.58,0.44,13,"Exact","Fig 2F","2Ch(Control) 2HF(M) (Treatment)",-0.0437300345861546,0.00084197104188222
"18","Body_Weight","None","Dunn2009","Dunn2009fff","Mouse","C57BL/6",2,"Female","f-f-f","Multigenerational","HFD",98,"Female","F2",21.55555556,1.474055462,0.444444444,11,"Exact",21.33,1.84,0.56,11,"Exact","Fig 2G","2Ch(Control) 2HF(M) (Treatment)",-0.0105190494500351,0.00110161467567521
"19","Body_Weight","None","Dunn2009","Dunn2009fmm","Mouse","C57BL/6",1,"Female","f-m-m","Multigenerational","HFD",98,"Male","F2",30.76642336,2.867693618,0.766423358,14,"Exact",28.8,2.28,0.66,12,"Exact","Fig 2F","2Ch(Control) 2HF(P) (Treatment)",-0.06604855754185,0.00114283960939473
"20","Body_Weight","None","Dunn2009","Dunn2009fmf","Mouse","C57BL/6",2,"Female","f-m-f","Multigenerational","HFD",98,"Female","F2",21.55555556,1.474055462,0.444444444,11,"Exact",22.56,6.54,1.89,12,"Exact","Fig 2G","2Ch(Control) 2HF(P) (Treatment)",0.0455448446965639,0.00742831731251224
"21","Body_Weight","None","Dunn2009","Dunn2009ffmm","Mouse","C57BL/6",1,"Female","f-fm-m","Multigenerational","HFD",98,"Male","F2",30.76642336,2.867693618,0.766423358,14,"Exact",31.86,7.12,2.52,8,"Exact","Fig 2F","2Ch(Control) 2HF(MP) (Treatment)",0.0349273597981522,0.00686334565468015
"22","Body_Weight","None","Dunn2009","Dunn2009ffmf","Mouse","C57BL/6",2,"Female","f-fm-f","Multigenerational","HFD",98,"Female","F2",21.55555556,1.474055462,0.444444444,11,"Exact",23.22,2.33,0.78,9,"Exact","Fig 2G","2Ch(Control) 2HF(MP) (Treatment)",0.0743803943364511,0.00154390541523195
"23","Body_Weight","None","Dunn2009","Dunn2009ffm","Mouse","C57BL/6",1,"Female","f-f-m","Multigenerational","HFD",42,"Male","F2",19.28852508,1.744459868,0.466226511,14,"Exact",19.44,1.68,0.47,13,"Exact","Fig 2F","2Ch(Control) 2HF(M) (Treatment)",0.00782243538004259,0.00115873647750124
"24","Body_Weight","None","Dunn2009","Dunn2009fff","Mouse","C57BL/6",2,"Female","f-f-f","Multigenerational","HFD",42,"Female","F2",16.18034834,1.546298404,0.466226511,11,"Exact",16.18,1.55,0.47,11,"Exact","Fig 2G","2Ch(Control) 2HF(M) (Treatment)",-2.15288164609066e-05,0.00166455134400053
"25","Body_Weight","None","Dunn2009","Dunn2009fmm","Mouse","C57BL/6",1,"Female","f-m-m","Multigenerational","HFD",42,"Male","F2",19.28852508,1.744459868,0.466226511,14,"Exact",20.22,2.69,0.78,12,"Exact","Fig 2F","2Ch(Control) 2HF(P) (Treatment)",0.0471618499400748,0.00205914087901818
"26","Body_Weight","None","Dunn2009","Dunn2009fmf","Mouse","C57BL/6",2,"Female","f-m-f","Multigenerational","HFD",42,"Female","F2",16.18034834,1.546298404,0.466226511,11,"Exact",16.96,2.15,0.62,12,"Exact","Fig 2G","2Ch(Control) 2HF(P) (Treatment)",0.0470601899169504,0.00216946329092945
"27","Body_Weight","None","Dunn2009","Dunn2009ffmm","Mouse","C57BL/6",1,"Female","f-fm-m","Multigenerational","HFD",42,"Male","F2",19.28852508,1.744459868,0.466226511,14,"Exact",20.84,2.2,0.78,8,"Exact","Fig 2F","2Ch(Control) 2HF(MP) (Treatment)",0.0773638532329157,0.00197727451030639
"28","Body_Weight","None","Dunn2009","Dunn2009ffmf","Mouse","C57BL/6",2,"Female","f-fm-f","Multigenerational","HFD",42,"Female","F2",16.18034834,1.546298404,0.466226511,11,"Exact",16.96,1.86,0.62,9,"Exact","Fig 2G","2Ch(Control) 2HF(MP) (Treatment)",0.0470601899169504,0.00216665308081612
"29","Body_Weight","None","Fullston2012","Fullston2012mmm","Mouse","C57BL/6",1,"Male","m-m-m","One off","Standard",119,"Male","F2",33.2,1.499066376,0.53,8,"Exact",33.8,5.2,1.84,8,"Exact","Table III","F2 malesF0CD (Control) F2malesF0HFD (Treatment)",0.01791092656653,0.00321342456154206
"30","Body_Weight","None","Fullston2012","Fullston2012mmf","Mouse","C57BL/6",2,"Male","m-m-f","One off","Standard",119,"Female","F2",29.8,2.743574311,0.97,8,"Exact",29.4,1.75,0.62,8,"Exact","Table III","F2 femalesF0CD (Control) F2 femalesF0HFD (Treatment)",-0.0135137191667229,0.0015024098332756
"31","Body_Weight","None","Fullston2012","Fullston2012mfm","Mouse","C57BL/6",3,"Male","m-f-m","One off","Standard",119,"Male","F2",32.8,2.347594514,0.83,8,"Exact",36.2,1.98,0.7,8,"Exact","Table IV","F2 malesF0CD (Control) F2malesF0HFD (Treatment)",0.0986306034416274,0.00101429521844423
"32","Body_Weight","None","Fullston2012","Fullston2012mff","Mouse","C57BL/6",4,"Male","m-f-f","One off","Standard",119,"Female","F2",27.9,1.979898987,0.7,8,"Exact",29,3.14,1.11,8,"Exact","Table IV","F2 femalesF0CD (Control) F2 femalesF0HFD (Treatment)",0.0386691411591541,0.0020949461040683
"33","Body_Weight","None","Gniuli2008","Gniuli2008O","Mouse","Swiss",1,"Female","f-f-fm","One off","Standard",60,"Both","F2",28.3,25.93067681,8.2,10,"Estimate",23.2,16.13,5.1,10,"Estimate","Table 1","CF2C(Control), HFF2C(Treatment)",-0.198709525976928,0.132295053226845
"34","Body_Weight","None","Gniuli2008","Gniuli2008M","Mouse","Swiss",1,"Female","f-f-fm","Multigenerational","Standard",60,"Both","F2",28.3,25.93067681,8.2,10,"Estimate",22.1,13.91,4.4,10,"Estimate","Table 1","CF2C(Control), HFF2HF(Treatment)",-0.247284196125485,0.123572515217534
"35","Body_Weight","None","Masuyama2015","Masuyama2015a","Mouse","ICR",1,"Female","f-f-f","Multigenerational","Standard",168,"Female","F2",32.78146,1.19,0.3441161,12,"Exact",45,2.086092731,0.6,12,"Exact","Figure 2","D (Control throughout) A (Treatment)",0.316799378093219,0.000288899306108602
"36","Body_Weight","None","Masuyama2015","Masuyama2015b","Mouse","ICR",1,"Female","f-f-f","One off","Standard",168,"Female","F2",32.78146,1.192053,0.3441161,12,"Exact",36.66,1.79,0.52,12,"Exact","Figure 2","D (Control) and B (Treatment)",0.111823130734459,0.000308866298661172
"37","Body_Weight","None","Masuyama2015","Masuyama2015c","Mouse","ICR",2,"Female","f-f-f","One off","Standard",168,"Female","F3",33.12977,1.259542,0.3635985,12,"Exact",34.85,1.26,0.36,12,"Exact","Fig 6","II (Their F1 is our F0, and their F4, is our F3) V (Control, their F4 will be our F2)",0.0506208632671514,0.000229381814751069
"38","Body_Weight","None","Masuyama2015","Masuyama2015d","Mouse","ICR",2,"Female","f-f-f","One off","Standard",168,"Female","F2",33.12977,1.259542,0.3635985,12,"Exact",36.91,1.72,0.5,12,"Exact","Fig 6","III (Treatment, their F2 will be our F0) and V (Control, their F4 will be our F2)",0.108050243102526,0.000301412186061056
"39","Body_Weight","None","Masuyama2015","Masuyama2015a","Mouse","ICR",1,"Female","f-f-f","Multigenerational","Standard",28,"Female","F2",12.44726,4.236253,1.2229009,12,"Exact",12.94,4.24,1.22,12,"Exact","Figure 2","D (Control throughout) A (Treatment)",0.0388227707045506,0.0185994855514245
"40","Body_Weight","None","Masuyama2015","Masuyama2015b","Mouse","ICR",1,"Female","f-f-f","One off","Standard",28,"Female","F2",12.44726,4.236253,1.2229009,12,"Exact",11.96,4.24,1.22,12,"Exact","Figure 2","D (Control) and B (Treatment)",-0.039932769845718,0.0201258033828422
"41","Body_Weight","None","Masuyama2015","Masuyama2015c","Mouse","ICR",2,"Female","f-f-f","One off","Standard",28,"Female","F3",12.29588,2.70985,0.78,12,"Exact",12.2,4.06,1.17,12,"Exact","Fig 6","II (Their F1 is our F0, and their F4, is our F3) V (Control, their F4 will be our F2)",-0.00782829517815426,0.0132764554401728
"42","Body_Weight","None","Masuyama2015","Masuyama2015d","Mouse","ICR",2,"Female","f-f-f","One off","Standard",28,"Female","F2",12.29588,2.70985,0.78,12,"Exact",12.3,2.71,0.78,12,"Exact","Fig 6","III (Treatment, their F2 will be our F0) and V (Control, their F4 will be our F2)",0.000335015461006872,0.00809279578987123
"43","Body_Weight","None","Masuyama2016","Masuyama2016mmmf","Mouse","ICR",1,"Male","m-m-m-f","One off","Standard",196,"Female","F3",33.57513,4.038460402,1.1658031,12,"Exact",35,3.141024949,0.91,12,"Exact","Fig 4","I(Control), II(Treatment) - Females",0.04156244715909,0.00187679169382259
"44","Body_Weight","None","Masuyama2016","Masuyama2016mmmf","Mouse","ICR",1,"Male","m-m-m-f","Multigenerational","Standard",196,"Female","F3",33.57513,4.038460402,1.1658031,12,"Exact",36.94,3.141024949,0.91,12,"Exact","Fig 4","I(Control), III(Treatment) -  Females",0.0955093604407701,0.00180814749849365
"45","Body_Weight","None","Masuyama2016","Masuyama2016mmmf","Mouse","ICR",1,"Male","m-m-m-f","Multigenerational","Standard",196,"Female","F3",33.57513,4.038460402,1.1658031,12,"Exact",38.5,4.487178301,1.3,12,"Exact","Fig 4","I(Control), IV(Treatment) - Females",0.136872626963415,0.00233762620505969
"46","Body_Weight","None","Masuyama2016","Masuyama2016mmmm","Mouse","ICR",2,"Male","m-m-m-m","One off","Standard",196,"Male","F3",31.76166,3.589742502,1.0362694,12,"Exact",33.32,3.141024949,0.91,12,"Exact","Fig 4","I(Control), II(Treatment) - MALES",0.0478979152830604,0.00180502871882261
"47","Body_Weight","None","Masuyama2016","Masuyama2016mmmm","Mouse","ICR",2,"Male","m-m-m-m","Multigenerational","Standard",196,"Male","F3",31.76166,3.589742502,1.0362694,12,"Exact",35.65,4.038460402,1.17,12,"Exact","Fig 4","I(Control), III(Treatment) - MALES",0.115489244844723,0.00213386181298476
"48","Body_Weight","None","Masuyama2016","Masuyama2016mmmm","Mouse","ICR",2,"Male","m-m-m-m","Multigenerational","Standard",196,"Male","F3",31.76166,3.589742502,1.0362694,12,"Exact",37.59,5.833331653,1.68,12,"Exact","Fig 4","I(Control), IV(Treatment) - MALES",0.168478155560505,0.0030712990415482
"49","Body_Weight","None","Masuyama2016","Masuyama2016mmmf","Mouse","ICR",1,"Male","m-m-m-f","One off","Standard",28,"Female","F3",12.38629289,1.532773645,0.442473638,12,"Exact",12.28,3.45,1,12,"Exact","Fig 4","I(Control), II(Treatment) - Females",-0.00861852637664761,0.00785361196643243
"50","Body_Weight","None","Masuyama2016","Masuyama2016mmmf","Mouse","ICR",1,"Male","m-m-m-f","Multigenerational","Standard",28,"Female","F3",12.38629289,1.532773645,0.442473638,12,"Exact",12.39,2.3,0.66,12,"Exact","Fig 4","I(Control), III(Treatment) -  Females",0.000299246545407115,0.004147773782633
"51","Body_Weight","None","Masuyama2016","Masuyama2016mmmf","Mouse","ICR",1,"Male","m-m-m-f","Multigenerational","Standard",28,"Female","F3",12.38629289,1.532773645,0.442473638,12,"Exact",12.28,2.3,0.66,12,"Exact","Fig 4","I(Control), IV(Treatment) - Females",-0.00861852637664761,0.00419945073748924
"52","Body_Weight","None","Masuyama2016","Masuyama2016mmmm","Mouse","ICR",2,"Male","m-m-m-m","One off","Standard",28,"Male","F3",12.05443767,1.915967057,0.553092048,12,"Exact",11.72,2.68,0.77,12,"Exact","Fig 4","I(Control), II(Treatment) - MALES",-0.0281360793618355,0.00646269371464223
"53","Body_Weight","None","Masuyama2016","Masuyama2016mmmm","Mouse","ICR",2,"Male","m-m-m-m","Multigenerational","Standard",28,"Male","F3",12.05443767,1.915967057,0.553092048,12,"Exact",11.72,2.3,0.66,12,"Exact","Fig 4","I(Control), III(Treatment) - MALES",-0.0281360793618355,0.00531460229831822
"54","Body_Weight","None","Masuyama2016","Masuyama2016mmmm","Mouse","ICR",2,"Male","m-m-m-m","Multigenerational","Standard",28,"Male","F3",12.05443767,1.915967057,0.553092048,12,"Exact",11.94,1.92,0.55,12,"Exact","Fig 4","I(Control), IV(Treatment) - MALES",-0.00953875554624618,0.00426006436917962
"55","Body_Weight","None","Masuyama2016","Masuyama2016mfmfmf","Mouse","ICR",3,"Male","m-fm-fm-f","One off","Standard",168,"Female","F3",33.89831,4.109951145,1.1864407,12,"Exact",34.58,4.697086924,1.36,12,"Exact","Fig 5","Alpha (Control), Beta (Treatment)",0.0199103196187918,0.00276253808862563
"56","Body_Weight","None","Masuyama2016","Masuyama2016hffmfmf","Mouse","ICR",3,"Female","f-fm-fm-f","One off","Standard",168,"Female","F3",33.89831,4.109951145,1.1864407,12,"Exact",35.42,5.871358828,1.69,12,"Exact","Fig 5","Alpha (Control), Theta (Treatment)",0.043911471718335,0.00351480673095855
"57","Body_Weight","None","Masuyama2016","Masuyama2016fmfmfmf","Mouse","ICR",3,"Both","fm-fm-fm-f","One off","Standard",168,"Female","F3",33.89831,4.109951145,1.1864407,12,"Exact",40.17,4.109951145,1.19,12,"Exact","Fig 5","Alpha (Control), Omega (Treatment)",0.169755287734838,0.00209734495773621
"58","Body_Weight","None","Masuyama2016","Masuyama2016mfmfmm","Mouse","ICR",4,"Male","m-fm-fm-m","One off","Standard",168,"Male","F3",38.47458,4.109951145,1.1864407,12,"Exact",38.81,4.109951145,1.19,12,"Exact","Fig 5","Alpha (Control), Beta (Treatment)males",0.00868018189479105,0.00188547552378408
"59","Body_Weight","None","Masuyama2016","Masuyama2016ffmfmm","Mouse","ICR",4,"Female","f-fm-fm-m","One off","Standard",168,"Male","F3",38.47458,4.109951145,1.1864407,12,"Exact",44.92,6.458494607,1.86,12,"Exact","Fig 5","Alpha (Control), Theta (Treatment) males",0.154885366384219,0.00267358978204414
"60","Body_Weight","None","Masuyama2016","Masuyama2016fmfmfmm","Mouse","ICR",4,"Both","fm-fm-fm-m","One off","Standard",168,"Male","F3",38.47458,4.109951145,1.1864407,12,"Exact",45.25,5.284222703,1.53,12,"Exact","Fig 5","Alpha (Control), Omega (Treatment) males",0.162204906659911,0.00208735362814559
"61","Body_Weight","None","Li2012","Li2012a","Mouse","C57BL/6",1,"Female","f-f-f","Multigenerational","HFD",90,"Male","F2",25.1,1.5,0.530330086,8,"Estimate",52.4,6.4,2.13,9,"Estimate","Table 1 and Supp Table 1","NCF2 (Control) HFF2(Treatment)",0.736038745189258,0.00210392655177057
"62","Body_Weight","None","King2013","King2013fmm","Mouse","C57BL/6",1,"Female","f-m-m","One off","Standard",0,"Male","F2",1.34,0.121655251,0.02,37,"Exact",1.27,0.1,0.02,26,"Exact","Table 2","mCON/pCON (Control) m/CON/pDIO (Treatment)",-0.0536527134923201,0.000461228780027562
"63","Body_Weight","None","King2013","King2013fmm","Mouse","C57BL/6",2,"Female","f-m-m","One off","Standard",21,"Male","F2",10.31,0.862322445,0.26,11,"Exact",10.28,0.13,0.04,10,"Exact","Table 2","mCON/pCON (Control) m/CON/pDIO (Treatment)",-0.00291403800184965,0.000651951276940087
"64","Body_Weight","None","King2013","King2013fmm","Mouse","C57BL/6",3,"Female","f-m-m","One off","Standard",180,"Male","F2",34.76,2.089473618,0.63,11,"Exact",34.43,3.64,1.15,10,"Exact","Table 2","mCON/pCON (Control) m/CON/pDIO (Treatment)",-0.00953902304675884,0.00144619848679694
"65","Body_Weight","None","King2013","King2013fmf","Mouse","C57BL/6",4,"Female","f-m-f","One off","Standard",0,"Female","F2",1.31,0.129614814,0.02,42,"Exact",1.27,0.11,0.02,29,"Exact","Table 2","mCON/pCON (Control) m/CON/pDIO (Treatment)",-0.0310102367425603,0.000491776822629408
"66","Body_Weight","None","King2013","King2013fmf","Mouse","C57BL/6",5,"Female","f-m-f","One off","Standard",21,"Female","F2",9.97,1.043551628,0.33,10,"Exact",9.72,1.16,0.41,8,"Exact","Table 2","mCON/pCON (Control) m/CON/pDIO (Treatment)",-0.0253949655013993,0.00287586462721914
"67","Body_Weight","None","King2013","King2013fmf","Mouse","C57BL/6",6,"Female","f-m-f","One off","Standard",180,"Female","F2",27.1,2.972541001,0.94,10,"Exact",26.1,1.75,0.62,8,"Exact","Table 2","mCON/pCON (Control) m/CON/pDIO (Treatment)",-0.0375984135570074,0.00176510226038813
"68","Body_Weight","None","King2013","King2013ffm","Mouse","C57BL/6",1,"Female","f-f-m","One off","Standard",0,"Male","F2",1.34,0.121655251,0.02,37,"Exact",1.26,0.11,0.02,31,"Exact","Table 2","mCON/pCON (Control) mDIO/pCON (Treatment)",-0.0615578929994334,0.000468623769331563
"69","Body_Weight","None","King2013","King2013ffm","Mouse","C57BL/6",2,"Female","f-f-m","One off","Standard",21,"Male","F2",10.31,0.862322445,0.26,11,"Exact",9.83,0.9,0.25,13,"Exact","Table 2","mCON/pCON (Control) mDIO/pCON (Treatment)",-0.0476753638697935,0.00128077361832377
"70","Body_Weight","None","King2013","King2013ffm","Mouse","C57BL/6",3,"Female","f-f-m","One off","Standard",180,"Male","F2",34.76,2.089473618,0.63,11,"Exact",37.05,2.6,0.72,13,"Exact","Table 2","mCON/pCON (Control) mDIO/pCON (Treatment)",0.0638010513449046,0.000707304337154055
"71","Body_Weight","None","King2013","King2013fff","Mouse","C57BL/6",4,"Female","f-f-f","One off","Standard",0,"Female","F2",1.31,0.129614814,0.02,42,"Exact",1.31,0.11,0.02,30,"Exact","Table 2","mCON/pCON (Control) mDIO/pCON (Treatment)",0,0.000468115688788457
"72","Body_Weight","None","King2013","King2013fff","Mouse","C57BL/6",5,"Female","f-f-f","One off","Standard",21,"Female","F2",9.97,1.043551628,0.33,10,"Exact",9.79,0.9,0.27,11,"Exact","Table 2","mCON/pCON (Control) mDIO/pCON (Treatment)",-0.0182191274313281,0.0018638566519352
"73","Body_Weight","None","King2013","King2013fff","Mouse","C57BL/6",6,"Female","f-f-f","One off","Standard",180,"Female","F2",27.1,2.972541001,0.94,10,"Exact",26.66,2.49,0.75,11,"Exact","Table 2","mCON/pCON (Control) mDIO/pCON (Treatment)",-0.0163694131350926,0.00199616554142222
"74","Body_Weight","None","King2013","King2013ffmm","Mouse","C57BL/6",1,"Female","f-fm-m","One off","Standard",0,"Male","F2",1.34,0.121655251,0.02,37,"Exact",1.26,0.12,0.02,34,"Exact","Table 2","mCON/pCON (Control) mDIO/pDIO (Treatment)",-0.0615578929994334,0.000489540140659066
"75","Body_Weight","None","King2013","King2013ffmm","Mouse","C57BL/6",2,"Female","f-fm-m","One off","Standard",21,"Male","F2",10.31,0.862322445,0.26,11,"Exact",9.97,1.23,0.39,10,"Exact","Table 2","mCON/pCON (Control) mDIO/pDIO (Treatment)",-0.0335337140551216,0.00215797777415488
"76","Body_Weight","None","King2013","King2013ffmm","Mouse","C57BL/6",3,"Female","f-fm-m","One off","Standard",180,"Male","F2",34.76,2.089473618,0.63,11,"Exact",35.32,3,0.95,10,"Exact","Table 2","mCON/pCON (Control) mDIO/pDIO (Treatment)",0.0159820753385681,0.00104993105173512
"77","Body_Weight","None","King2013","King2013ffmf","Mouse","C57BL/6",4,"Female","f-fm-f","One off","Standard",0,"Female","F2",1.31,0.129614814,0.02,42,"Exact",1.23,0.11,0.02,28,"Exact","Table 2","mCON/pCON (Control) mDIO/pDIO (Treatment)",-0.0630129678287342,0.00051872539496584
"78","Body_Weight","None","King2013","King2013ffmf","Mouse","C57BL/6",5,"Female","f-fm-f","One off","Standard",21,"Female","F2",9.97,1.043551628,0.33,10,"Exact",10.18,0.06,0.02,9,"Exact","Table 2","mCON/pCON (Control) mDIO/pDIO (Treatment)",0.0208444271486297,0.00109942331810101
"79","Body_Weight","None","King2013","King2013ffmf","Mouse","C57BL/6",6,"Female","f-fm-f","One off","Standard",180,"Female","F2",27.1,2.972541001,0.94,10,"Exact",27.08,2.4,0.8,9,"Exact","Table 2","mCON/pCON (Control) mDIO/pDIO (Treatment)",-0.000738279841581073,0.00207587818313539
"80","Body_Weight","None","Graus-Nunes2015","Graus-Nunes2015","Mouse","C57BL/6",1,"Female","f-f-m","One off","Standard",90,"Male","F2",24.65,0.894427191,0.4,5,"Exact",26.01,1.050951949,0.47,5,"Exact","Table 2","F2SC (Control) F2HF (Treatment)",0.0537041789718612,0.000589845314979123
"81","Body_Weight","None","Hoile2015","Hoile2015","Mouse","C57BL/6",1,"Female","f-f-f","Multigenerational","HFD",90,"Female","F3",20.37736,0.693251893,0.2830189,6,"Estimate",22.08,2.773007325,1.13,6,"Estimate","Figure1A","5% F3(D90) 21% F3(D90)",0.0802477407686797,0.00282167158407074
"82","Body_Weight","None","Hoile2015","Hoile2015","Mouse","C57BL/6",2,"Female","f-f-f","Multigenerational","HFD",456,"Female","F3",28.58491,2.079755433,0.8490566,6,"Estimate",32.26,2.773007325,1.13,6,"Estimate","Figure1A","5% F3(D456) 21% F3 (D456)",0.120949116490545,0.00211373112358981
"83","Body_Weight","None","Ding2014","Li2012b","Mouse","C57BL/6",1,"Female","f-f-f","Multigenerational","HFD",270,"Female","F2",25.3,1.8,0.9,4,"Estimate",65.38,7.64151,2.55,9,"Estimate","Supp Table 1;Figure 1","NCF2 (Control) HFF2(Treatment)",0.94941200556259,0.00278328717209066
"84","Body_Weight","None","Ding2014","Li2012b","Mouse","C57BL/6",2,"Female","f-f-f","Multigenerational","HFD",19,"Female","F2",6.545455,2.060606,1.030303,4,"Estimate",7.88,4.181817,1.39,9,"Estimate","Figure 1","NCF2 (Control) HFF2(Treatment)",0.185556988207661,0.056069215375775
"85","Body_Weight","None","Park2018","Park2018mfmf","Mouse","C57BL/6",1,"Male","m-fm-f","One off","Standard",189,"Female","F2",28.90909,3.085556889,1.0909091,8,"Estimate",27.55,1.93,0.68,8,"Estimate","Fig2d","F2 female to CD (Control) F2 female to HFD (treatment)",-0.0481535429363413,0.00203744760086783
