"Data","Grand-offspring trait type","Mean","CI.lb","CI.ub","k","R2","row"
,"Glucose fasting – Triglycerides",-0.209,-0.701,0.282,,,138
,"Glucose tolerance – Insulin fasting",-0.35,-0.961,0.26,,,139
,"Glucose tolerance – Insulin tolerance",0.216,-0.323,0.755,,,140
,"Glucose tolerance – Leptin",-0.448,-1.035,0.138,,,141
,"Glucose tolerance – Triglycerides",-0.409,-0.949,0.131,,,142
,"Insulin fasting – Insulin tolerance",0.567,-0.042,1.176,,,143
,"Insulin fasting – Leptin",-0.098,-0.706,0.51,,,144
,"Insulin fasting – Triglycerides",-0.059,-0.629,0.512,,,145
,"Insulin tolerance – Leptin",-0.665,-1.253,-0.076,,,146
,"Insulin tolerance – Triglycerides",-0.625,-1.168,-0.082,,,147
,"Leptin – Triglycerides",0.039,-0.5,0.579,,,148
