Trait,Trait_Info,Paper_ID,Cohort_ID,Rodent_type,Strain,Shared_Control,F0_Parent_Exposed,Lineage_HFD,Exposure_Type,F2_Diet_at_measurement,Age_Days,Sex,Generation,Mean_Control,SD_Control,SEM_Control,Sample_Size_n_Control,Estimated_or_Exact_sample_control.,Mean_Treatment,SD_Treatment,SEM_Treatment,Sample_Size_n_Treatment,Estimated_or_Exact_sample_treatment..,Source,Group_Label_Paper,yi,vi
Body_Weight,None,Dunn2009,Dunn2009fff,Mouse,C57BL/6,2,Female,f-f-f,Multigenerational,HFD,42,Female,F2,16.18034834,1.546298404,0.466226511,11,Exact,16.18,1.55,0.47,11,Exact,Fig 2G,2Ch(Control) 2HF(M) (Treatment),-2.15E-05,0.001664551
Body_Weight,None,Dunn2009,Dunn2009fmm,Mouse,C57BL/6,1,Female,f-m-m,Multigenerational,HFD,42,Male,F2,19.28852508,1.744459868,0.466226511,14,Exact,20.22,2.69,0.78,12,Exact,Fig 2F,2Ch(Control) 2HF(P) (Treatment),0.04716185,0.002059141
Body_Weight,None,Dunn2009,Dunn2009fmf,Mouse,C57BL/6,2,Female,f-m-f,Multigenerational,HFD,42,Female,F2,16.18034834,1.546298404,0.466226511,11,Exact,16.96,2.15,0.62,12,Exact,Fig 2G,2Ch(Control) 2HF(P) (Treatment),0.04706019,0.002169463
Body_Weight,None,Dunn2009,Dunn2009ffmm,Mouse,C57BL/6,1,Female,f-fm-m,Multigenerational,HFD,42,Male,F2,19.28852508,1.744459868,0.466226511,14,Exact,20.84,2.2,0.78,8,Exact,Fig 2F,2Ch(Control) 2HF(MP) (Treatment),0.077363853,0.001977275
Body_Weight,None,Dunn2009,Dunn2009ffmf,Mouse,C57BL/6,2,Female,f-fm-f,Multigenerational,HFD,42,Female,F2,16.18034834,1.546298404,0.466226511,11,Exact,16.96,1.86,0.62,9,Exact,Fig 2G,2Ch(Control) 2HF(MP) (Treatment),0.04706019,0.002166653
Body_Weight,None,Fullston2012,Fullston2012mmm,Mouse,C57BL/6,1,Male,m-m-m,One off,Standard,119,Male,F2,33.2,1.499066376,0.53,8,Exact,33.8,5.2,1.84,8,Exact,Table III,F2 malesF0CD (Control) F2malesF0HFD (Treatment),0.017910927,0.003213425
Body_Weight,None,Fullston2012,Fullston2012mmf,Mouse,C57BL/6,2,Male,m-m-f,One off,Standard,119,Female,F2,29.8,2.743574311,0.97,8,Exact,29.4,1.75,0.62,8,Exact,Table III,F2 femalesF0CD (Control) F2 femalesF0HFD (Treatment),-0.013513719,0.00150241
Body_Weight,None,Fullston2012,Fullston2012mfm,Mouse,C57BL/6,3,Male,m-f-m,One off,Standard,119,Male,F2,32.8,2.347594514,0.83,8,Exact,36.2,1.98,0.7,8,Exact,Table IV,F2 malesF0CD (Control) F2malesF0HFD (Treatment),0.098630603,0.001014295
Body_Weight,None,Fullston2012,Fullston2012mff,Mouse,C57BL/6,4,Male,m-f-f,One off,Standard,119,Female,F2,27.9,1.979898987,0.7,8,Exact,29,3.14,1.11,8,Exact,Table IV,F2 femalesF0CD (Control) F2 femalesF0HFD (Treatment),0.038669141,0.002094946
Body_Weight,None,Gniuli2008,Gniuli2008O,Mouse,Swiss,1,Female,f-f-fm,One off,Standard,60,Both,F2,28.3,25.93067681,8.2,10,Estimate,23.2,16.13,5.1,10,Estimate,Table 1,"CF2C(Control), HFF2C(Treatment)",-0.198709526,0.132295053
Body_Weight,None,Gniuli2008,Gniuli2008M,Mouse,Swiss,1,Female,f-f-fm,Multigenerational,Standard,60,Both,F2,28.3,25.93067681,8.2,10,Estimate,22.1,13.91,4.4,10,Estimate,Table 1,"CF2C(Control), HFF2HF(Treatment)",-0.247284196,0.123572515
Body_Weight,None,Masuyama2015,Masuyama2015a,Mouse,ICR,1,Female,f-f-f,Multigenerational,Standard,168,Female,F2,32.78146,1.19,0.3441161,12,Exact,45,2.086092731,0.6,12,Exact,Figure 2,D (Control throughout) A (Treatment),0.316799378,0.000288899
Body_Weight,None,Masuyama2015,Masuyama2015b,Mouse,ICR,1,Female,f-f-f,One off,Standard,168,Female,F2,32.78146,1.192053,0.3441161,12,Exact,36.66,1.79,0.52,12,Exact,Figure 2,D (Control) and B (Treatment),0.111823131,0.000308866
Body_Weight,None,Masuyama2015,Masuyama2015c,Mouse,ICR,2,Female,f-f-f,One off,Standard,168,Female,F3,33.12977,1.259542,0.3635985,12,Exact,34.85,1.26,0.36,12,Exact,Fig 6,"II (Their F1 is our F0, and their F4, is our F3) V (Control, their F4 will be our F2)",0.050620863,0.000229382
Body_Weight,None,Masuyama2015,Masuyama2015d,Mouse,ICR,2,Female,f-f-f,One off,Standard,168,Female,F2,33.12977,1.259542,0.3635985,12,Exact,36.91,1.72,0.5,12,Exact,Fig 6,"III (Treatment, their F2 will be our F0) and V (Control, their F4 will be our F2)",0.108050243,0.000301412
Body_Weight,None,Masuyama2015,Masuyama2015a,Mouse,ICR,1,Female,f-f-f,Multigenerational,Standard,28,Female,F2,12.44726,4.236253,1.2229009,12,Exact,12.94,4.24,1.22,12,Exact,Figure 2,D (Control throughout) A (Treatment),0.038822771,0.018599486
Body_Weight,None,Masuyama2015,Masuyama2015b,Mouse,ICR,1,Female,f-f-f,One off,Standard,28,Female,F2,12.44726,4.236253,1.2229009,12,Exact,11.96,4.24,1.22,12,Exact,Figure 2,D (Control) and B (Treatment),-0.03993277,0.020125803
Body_Weight,None,Masuyama2015,Masuyama2015c,Mouse,ICR,2,Female,f-f-f,One off,Standard,28,Female,F3,12.29588,2.70985,0.78,12,Exact,12.2,4.06,1.17,12,Exact,Fig 6,"II (Their F1 is our F0, and their F4, is our F3) V (Control, their F4 will be our F2)",-0.007828295,0.013276455
Body_Weight,None,Masuyama2015,Masuyama2015d,Mouse,ICR,2,Female,f-f-f,One off,Standard,28,Female,F2,12.29588,2.70985,0.78,12,Exact,12.3,2.71,0.78,12,Exact,Fig 6,"III (Treatment, their F2 will be our F0) and V (Control, their F4 will be our F2)",0.000335015,0.008092796
Body_Weight,None,Masuyama2016,Masuyama2016mmmf,Mouse,ICR,1,Male,m-m-m-f,One off,Standard,196,Female,F3,33.57513,4.038460402,1.1658031,12,Exact,35,3.141024949,0.91,12,Exact,Fig 4,"I(Control), II(Treatment) - Females",0.041562447,0.001876792
Body_Weight,None,Masuyama2016,Masuyama2016mmmf,Mouse,ICR,1,Male,m-m-m-f,Multigenerational,Standard,196,Female,F3,33.57513,4.038460402,1.1658031,12,Exact,36.94,3.141024949,0.91,12,Exact,Fig 4,"I(Control), III(Treatment) -  Females",0.09550936,0.001808147
Body_Weight,None,Masuyama2016,Masuyama2016mmmf,Mouse,ICR,1,Male,m-m-m-f,Multigenerational,Standard,196,Female,F3,33.57513,4.038460402,1.1658031,12,Exact,38.5,4.487178301,1.3,12,Exact,Fig 4,"I(Control), IV(Treatment) - Females",0.136872627,0.002337626
Body_Weight,None,Masuyama2016,Masuyama2016mmmm,Mouse,ICR,2,Male,m-m-m-m,One off,Standard,196,Male,F3,31.76166,3.589742502,1.0362694,12,Exact,33.32,3.141024949,0.91,12,Exact,Fig 4,"I(Control), II(Treatment) - MALES",0.047897915,0.001805029
Body_Weight,None,Masuyama2016,Masuyama2016mmmm,Mouse,ICR,2,Male,m-m-m-m,Multigenerational,Standard,196,Male,F3,31.76166,3.589742502,1.0362694,12,Exact,35.65,4.038460402,1.17,12,Exact,Fig 4,"I(Control), III(Treatment) - MALES",0.115489245,0.002133862
Body_Weight,None,Masuyama2016,Masuyama2016mmmm,Mouse,ICR,2,Male,m-m-m-m,Multigenerational,Standard,196,Male,F3,31.76166,3.589742502,1.0362694,12,Exact,37.59,5.833331653,1.68,12,Exact,Fig 4,"I(Control), IV(Treatment) - MALES",0.168478156,0.003071299
Body_Weight,None,Masuyama2016,Masuyama2016mmmf,Mouse,ICR,1,Male,m-m-m-f,One off,Standard,28,Female,F3,12.38629289,1.532773645,0.442473638,12,Exact,12.28,3.45,1,12,Exact,Fig 4,"I(Control), II(Treatment) - Females",-0.008618526,0.007853612
Body_Weight,None,Masuyama2016,Masuyama2016mmmf,Mouse,ICR,1,Male,m-m-m-f,Multigenerational,Standard,28,Female,F3,12.38629289,1.532773645,0.442473638,12,Exact,12.39,2.3,0.66,12,Exact,Fig 4,"I(Control), III(Treatment) -  Females",0.000299247,0.004147774
Body_Weight,None,Masuyama2016,Masuyama2016mmmf,Mouse,ICR,1,Male,m-m-m-f,Multigenerational,Standard,28,Female,F3,12.38629289,1.532773645,0.442473638,12,Exact,12.28,2.3,0.66,12,Exact,Fig 4,"I(Control), IV(Treatment) - Females",-0.008618526,0.004199451
Body_Weight,None,Masuyama2016,Masuyama2016mmmm,Mouse,ICR,2,Male,m-m-m-m,One off,Standard,28,Male,F3,12.05443767,1.915967057,0.553092048,12,Exact,11.72,2.68,0.77,12,Exact,Fig 4,"I(Control), II(Treatment) - MALES",-0.028136079,0.006462694
Body_Weight,None,Masuyama2016,Masuyama2016mmmm,Mouse,ICR,2,Male,m-m-m-m,Multigenerational,Standard,28,Male,F3,12.05443767,1.915967057,0.553092048,12,Exact,11.72,2.3,0.66,12,Exact,Fig 4,"I(Control), III(Treatment) - MALES",-0.028136079,0.005314602
Body_Weight,None,Masuyama2016,Masuyama2016mmmm,Mouse,ICR,2,Male,m-m-m-m,Multigenerational,Standard,28,Male,F3,12.05443767,1.915967057,0.553092048,12,Exact,11.94,1.92,0.55,12,Exact,Fig 4,"I(Control), IV(Treatment) - MALES",-0.009538756,0.004260064
Body_Weight,None,Masuyama2016,Masuyama2016mfmfmf,Mouse,ICR,3,Male,m-fm-fm-f,One off,Standard,168,Female,F3,33.89831,4.109951145,1.1864407,12,Exact,34.58,4.697086924,1.36,12,Exact,Fig 5,"Alpha (Control), Beta (Treatment)",0.01991032,0.002762538
Body_Weight,None,Masuyama2016,Masuyama2016hffmfmf,Mouse,ICR,3,Female,f-fm-fm-f,One off,Standard,168,Female,F3,33.89831,4.109951145,1.1864407,12,Exact,35.42,5.871358828,1.69,12,Exact,Fig 5,"Alpha (Control), Theta (Treatment)",0.043911472,0.003514807
Body_Weight,None,Masuyama2016,Masuyama2016fmfmfmf,Mouse,ICR,3,Both,fm-fm-fm-f,One off,Standard,168,Female,F3,33.89831,4.109951145,1.1864407,12,Exact,40.17,4.109951145,1.19,12,Exact,Fig 5,"Alpha (Control), Omega (Treatment)",0.169755288,0.002097345
Body_Weight,None,Masuyama2016,Masuyama2016mfmfmm,Mouse,ICR,4,Male,m-fm-fm-m,One off,Standard,168,Male,F3,38.47458,4.109951145,1.1864407,12,Exact,38.81,4.109951145,1.19,12,Exact,Fig 5,"Alpha (Control), Beta (Treatment)males",0.008680182,0.001885476
Body_Weight,None,Masuyama2016,Masuyama2016ffmfmm,Mouse,ICR,4,Female,f-fm-fm-m,One off,Standard,168,Male,F3,38.47458,4.109951145,1.1864407,12,Exact,44.92,6.458494607,1.86,12,Exact,Fig 5,"Alpha (Control), Theta (Treatment) males",0.154885366,0.00267359
Body_Weight,None,Masuyama2016,Masuyama2016fmfmfmm,Mouse,ICR,4,Both,fm-fm-fm-m,One off,Standard,168,Male,F3,38.47458,4.109951145,1.1864407,12,Exact,45.25,5.284222703,1.53,12,Exact,Fig 5,"Alpha (Control), Omega (Treatment) males",0.162204907,0.002087354
Body_Weight,None,Li2012,Li2012a,Mouse,C57BL/6,1,Female,f-f-f,Multigenerational,HFD,90,Male,F2,25.1,1.5,0.530330086,8,Estimate,52.4,6.4,2.13,9,Estimate,Table 1 and Supp Table 1,NCF2 (Control) HFF2(Treatment),0.736038745,0.002103927
Body_Weight,None,King2013,King2013fmm,Mouse,C57BL/6,1,Female,f-m-m,One off,Standard,0,Male,F2,1.34,0.121655251,0.02,37,Exact,1.27,0.1,0.02,26,Exact,Table 2,mCON/pCON (Control) m/CON/pDIO (Treatment),-0.053652713,0.000461229
Body_Weight,None,King2013,King2013fmm,Mouse,C57BL/6,2,Female,f-m-m,One off,Standard,21,Male,F2,10.31,0.862322445,0.26,11,Exact,10.28,0.13,0.04,10,Exact,Table 2,mCON/pCON (Control) m/CON/pDIO (Treatment),-0.002914038,0.000651951
Body_Weight,None,King2013,King2013fmm,Mouse,C57BL/6,3,Female,f-m-m,One off,Standard,180,Male,F2,34.76,2.089473618,0.63,11,Exact,34.43,3.64,1.15,10,Exact,Table 2,mCON/pCON (Control) m/CON/pDIO (Treatment),-0.009539023,0.001446198
Body_Weight,None,King2013,King2013fmf,Mouse,C57BL/6,4,Female,f-m-f,One off,Standard,0,Female,F2,1.31,0.129614814,0.02,42,Exact,1.27,0.11,0.02,29,Exact,Table 2,mCON/pCON (Control) m/CON/pDIO (Treatment),-0.031010237,0.000491777
Body_Weight,None,King2013,King2013fmf,Mouse,C57BL/6,5,Female,f-m-f,One off,Standard,21,Female,F2,9.97,1.043551628,0.33,10,Exact,9.72,1.16,0.41,8,Exact,Table 2,mCON/pCON (Control) m/CON/pDIO (Treatment),-0.025394966,0.002875865
Body_Weight,None,King2013,King2013fmf,Mouse,C57BL/6,6,Female,f-m-f,One off,Standard,180,Female,F2,27.1,2.972541001,0.94,10,Exact,26.1,1.75,0.62,8,Exact,Table 2,mCON/pCON (Control) m/CON/pDIO (Treatment),-0.037598414,0.001765102
Body_Weight,None,King2013,King2013ffm,Mouse,C57BL/6,1,Female,f-f-m,One off,Standard,0,Male,F2,1.34,0.121655251,0.02,37,Exact,1.26,0.11,0.02,31,Exact,Table 2,mCON/pCON (Control) mDIO/pCON (Treatment),-0.061557893,0.000468624
Body_Weight,None,King2013,King2013ffm,Mouse,C57BL/6,2,Female,f-f-m,One off,Standard,21,Male,F2,10.31,0.862322445,0.26,11,Exact,9.83,0.9,0.25,13,Exact,Table 2,mCON/pCON (Control) mDIO/pCON (Treatment),-0.047675364,0.001280774
Body_Weight,None,King2013,King2013ffm,Mouse,C57BL/6,3,Female,f-f-m,One off,Standard,180,Male,F2,34.76,2.089473618,0.63,11,Exact,37.05,2.6,0.72,13,Exact,Table 2,mCON/pCON (Control) mDIO/pCON (Treatment),0.063801051,0.000707304
Body_Weight,None,King2013,King2013fff,Mouse,C57BL/6,4,Female,f-f-f,One off,Standard,0,Female,F2,1.31,0.129614814,0.02,42,Exact,1.31,0.11,0.02,30,Exact,Table 2,mCON/pCON (Control) mDIO/pCON (Treatment),0,0.000468116
Body_Weight,None,King2013,King2013fff,Mouse,C57BL/6,5,Female,f-f-f,One off,Standard,21,Female,F2,9.97,1.043551628,0.33,10,Exact,9.79,0.9,0.27,11,Exact,Table 2,mCON/pCON (Control) mDIO/pCON (Treatment),-0.018219127,0.001863857
Body_Weight,None,King2013,King2013fff,Mouse,C57BL/6,6,Female,f-f-f,One off,Standard,180,Female,F2,27.1,2.972541001,0.94,10,Exact,26.66,2.49,0.75,11,Exact,Table 2,mCON/pCON (Control) mDIO/pCON (Treatment),-0.016369413,0.001996166
Body_Weight,None,King2013,King2013ffmm,Mouse,C57BL/6,1,Female,f-fm-m,One off,Standard,0,Male,F2,1.34,0.121655251,0.02,37,Exact,1.26,0.12,0.02,34,Exact,Table 2,mCON/pCON (Control) mDIO/pDIO (Treatment),-0.061557893,0.00048954
Body_Weight,None,King2013,King2013ffmm,Mouse,C57BL/6,2,Female,f-fm-m,One off,Standard,21,Male,F2,10.31,0.862322445,0.26,11,Exact,9.97,1.23,0.39,10,Exact,Table 2,mCON/pCON (Control) mDIO/pDIO (Treatment),-0.033533714,0.002157978
Body_Weight,None,King2013,King2013ffmm,Mouse,C57BL/6,3,Female,f-fm-m,One off,Standard,180,Male,F2,34.76,2.089473618,0.63,11,Exact,35.32,3,0.95,10,Exact,Table 2,mCON/pCON (Control) mDIO/pDIO (Treatment),0.015982075,0.001049931
Body_Weight,None,King2013,King2013ffmf,Mouse,C57BL/6,4,Female,f-fm-f,One off,Standard,0,Female,F2,1.31,0.129614814,0.02,42,Exact,1.23,0.11,0.02,28,Exact,Table 2,mCON/pCON (Control) mDIO/pDIO (Treatment),-0.063012968,0.000518725
Body_Weight,None,King2013,King2013ffmf,Mouse,C57BL/6,5,Female,f-fm-f,One off,Standard,21,Female,F2,9.97,1.043551628,0.33,10,Exact,10.18,0.06,0.02,9,Exact,Table 2,mCON/pCON (Control) mDIO/pDIO (Treatment),0.020844427,0.001099423
Body_Weight,None,King2013,King2013ffmf,Mouse,C57BL/6,6,Female,f-fm-f,One off,Standard,180,Female,F2,27.1,2.972541001,0.94,10,Exact,27.08,2.4,0.8,9,Exact,Table 2,mCON/pCON (Control) mDIO/pDIO (Treatment),-0.00073828,0.002075878
Body_Weight,None,Graus-Nunes2015,Graus-Nunes2015,Mouse,C57BL/6,1,Female,f-f-m,One off,Standard,90,Male,F2,24.65,0.894427191,0.4,5,Exact,26.01,1.050951949,0.47,5,Exact,Table 2,F2SC (Control) F2HF (Treatment),0.053704179,0.000589845
Body_Weight,None,Hoile2015,Hoile2015,Mouse,C57BL/6,1,Female,f-f-f,Multigenerational,HFD,90,Female,F3,20.37736,0.693251893,0.2830189,6,Estimate,22.08,2.773007325,1.13,6,Estimate,Figure1A,5% F3(D90) 21% F3(D90),0.080247741,0.002821672
Body_Weight,None,Hoile2015,Hoile2015,Mouse,C57BL/6,2,Female,f-f-f,Multigenerational,HFD,456,Female,F3,28.58491,2.079755433,0.8490566,6,Estimate,32.26,2.773007325,1.13,6,Estimate,Figure1A,5% F3(D456) 21% F3 (D456),0.120949116,0.002113731
Body_Weight,None,Ding2014,Li2012b,Mouse,C57BL/6,1,Female,f-f-f,Multigenerational,HFD,270,Female,F2,25.3,1.8,0.9,4,Estimate,65.38,7.64151,2.55,9,Estimate,Supp Table 1;Figure 1,NCF2 (Control) HFF2(Treatment),0.949412006,0.002783287
Body_Weight,None,Ding2014,Li2012b,Mouse,C57BL/6,2,Female,f-f-f,Multigenerational,HFD,19,Female,F2,6.545455,2.060606,1.030303,4,Estimate,7.88,4.181817,1.39,9,Estimate,Figure 1,NCF2 (Control) HFF2(Treatment),0.185556988,0.056069215
Body_Weight,None,Park2018,Park2018mfmf,Mouse,C57BL/6,1,Male,m-fm-f,One off,Standard,189,Female,F2,28.90909,3.085556889,1.0909091,8,Estimate,27.55,1.93,0.68,8,Estimate,Fig2d,F2 female to CD (Control) F2 female to HFD (treatment),-0.048153543,0.002037448
Body_Weight,None,Park2018,Park2018mfmm,Mouse,C57BL/6,2,Male,m-fm-m,One off,Standard,189,Male,F2,39.52756,4.454215804,1.5748031,8,Estimate,38.27,1.78,0.63,8,Estimate,Fig 2a,F2 male to CD (Control) F2 male to HFD (treatment),-0.032331851,0.001857693
Body_Weight,None,Park2018,Park2018mfmf,Mouse,C57BL/6,1,Male,m-fm-f,One off,Standard,35,Female,F2,16.32643253,1.317492857,0.465804067,8,Estimate,17.26,1.65,0.58,8,Estimate,Fig2d,F2 female to CD (Control) F2 female to HFD (treatment),0.055606264,0.001956342
Body_Weight,None,Park2018,Park2018mfmm,Mouse,C57BL/6,2,Male,m-fm-m,One off,Standard,35,Male,F2,20.22251008,2.28227109,0.806904682,8,Estimate,20.36,3.04,1.08,8,Estimate,Fig 2a,F2 male to CD (Control) F2 male to HFD (treatment),0.006775847,0.004378888
Body_Weight,None,Giraudo2010,Giraudo2010F2,Mouse,C57BL/6,1,Female,f-f-fm,Multigenerational,HFD,21,Both,F2,13.082353,0.97809931,0.1882353,27,Estimate,9.95,1.47181588,0.21,50,Estimate,Figure 4,"Chow Gen 2 (Control), HF Gen 2 (Treatment)",-0.273691672,0.000644642
Body_Weight,None,Giraudo2010,Giraudo2010F3,Mouse,C57BL/6,2,Female,f-f-f-fm,Multigenerational,HFD,21,Both,F3,12.047059,2.074861842,0.4235294,24,Estimate,11.44,1.717118527,0.24,50,Estimate,Figure 4,"Chow Gen 3 (Control), HF Gen 3 (Treatment)",-0.051704578,0.001686549
Body_Weight,None,Giraudo2010,Giraudo2010F2,Mouse,C57BL/6,1,Female,f-f-fm,Multigenerational,HFD,77,Both,F2,23.417085,3.133358373,0.6030151,27,Estimate,23.32,4.263960664,0.6,50,Estimate,Figure 4,"Chow Gen 2 (Control), HF Gen 2 (Treatment)",-0.004154523,0.001331769
Body_Weight,None,Giraudo2010,Giraudo2010F3,Mouse,C57BL/6,2,Female,f-f-f-fm,Multigenerational,HFD,77,Both,F3,22.41206,1.477079057,0.3015075,24,Estimate,24.62,3.553300671,0.5,50,Estimate,Figure 4,"Chow Gen 3 (Control), HF Gen 3 (Treatment)",0.093959914,0.000597579
