"","ES_ID","Paper_ID","Study_ID","Cohort_ID","Cohort_ID_Control","Shared_Control_Code","Title","Journal","Year","Rodent_Type","Rodent_Strain","Exposure_Type","F0_Parent_Exposed","Treatment_Diet_Code","Treatment_Diet_Notes","Treatment_Diet_Prot_pww","Treatment_Diet_Carb_pww","Treatment_Diet_Fat_pww","Treatment_Diet_Energy_kcal_g","Treatment_Diet_Prot_pE","Treatment_Diet_Carb_pE","Treatment_Diet_Fat_pE","Treatment_Diet_PC_ratio","Treatment_Diet_PNP_ratio","Treatment_Start_F0","Treatment_End_F0","Treatment_Duration_F0","Treatment_Duration_F0_Notes","Offspring_Generation","Offspring_Sex","Lineage_HFD","Age_at_Measurement_Days","Diet_at_Measurement","Trait","Trait_Info","Unit_of_Measurement","Mean_Control","SD_Control","SEM_Control","Sample_Size_n_Control","Estimated_or_Exact_Sample_Control","Mean_Treatment","SD_Treatment","SEM_Treatment","Sample_Size_n_Treatment","Estimated_or_Exact_Sample_Treatment","Data_Source","Group_Label_Paper","Notes","lnRR","VlnRR","lnCVR","VlnCVR"
"11","ES_11","Armitage2007","Armitage_Taylor","Armitage2007fff","Armitage2007fff_2",2,"Programmed aortic dysfunction and reduced Na+, K+ -ATPase activity present in first generation offspring of lard-fed rats does not persist to the second generation.","Experimental Physiology",2007,"Rat","SD","One-off","Female","RM3lard","Special Diet Services UK RM3 added lard; Khan et al. 2003; ""lard-rich diet comprising the control diet premix supplemented with 20% (w/w) animal lard (Special Diet Services)""",19.5,41.3,25.7,4.745,16.4,34.8,48.7,0.472,0.291,-10,42,52,"10 days before mating, gestation, lactation","F2","Female","f-f-f",180,"Standard","Adiposity","Visceral Fat Pads","g",6.22888,1.35718175039307,0.512966485065058,7,"Exact",8.00007,5.1138193796418,2.08770801947974,6,"Exact","Table 2","Control Diet F2 (Control), Fat-rich diet F2 (Treatment)","Values recalculated to g using original mg/g using body mass of cohort",0.250253750284605,0.0748827620270067,1.09294916649949,0.25821609536034
"12","ES_12","Armitage2007","Armitage_Taylor","Armitage2007fff","Armitage2007fff_2",2,"Programmed aortic dysfunction and reduced Na+, K+ -ATPase activity present in first generation offspring of lard-fed rats does not persist to the second generation.","Experimental Physiology",2007,"Rat","SD","One-off","Female","RM3lard","Special Diet Services UK RM3 added lard; Khan et al. 2003; ""lard-rich diet comprising the control diet premix supplemented with 20% (w/w) animal lard (Special Diet Services)""",19.5,41.3,25.7,4.745,16.4,34.8,48.7,0.472,0.291,-10,42,52,"10 days before mating, gestation, lactation","F2","Female","f-f-f",180,"Standard","Body_Weight","None","g",274.4,24.87006232,9.4,7,"Exact",284.7,20.09,8.2,6,"Exact","Table 2","Control Diet F2 (Control), Fat-rich diet F2 (Treatment)",NA,0.0368490984322616,0.00200342702934977,-0.233625016581243,0.185336760362683
"13","ES_13","Armitage2007","Armitage_Taylor","Armitage2007ffm","Armitage2007ffm_1",1,"Programmed aortic dysfunction and reduced Na+, K+ -ATPase activity present in first generation offspring of lard-fed rats does not persist to the second generation.","Experimental Physiology",2007,"Rat","SD","One-off","Female","RM3lard","Special Diet Services UK RM3 added lard; Khan et al. 2003; ""lard-rich diet comprising the control diet premix supplemented with 20% (w/w) animal lard (Special Diet Services)""",19.5,41.3,25.7,4.745,16.4,34.8,48.7,0.472,0.291,-10,42,52,"10 days before mating, gestation, lactation","F2","Male","f-f-m",180,"Standard","Adiposity","Visceral Fat Pads","g",8.9243,3.31559377771162,1.25317665490544,7,"Exact",11.80236,4.4377570521154,1.81170673002007,6,"Exact","Table 2","Control Diet F2 (Control), Fat-rich diet F2 (Treatment)","Values recalculated to g using original mg/g using body mass of cohort",0.279521618257032,0.0432820154900544,0.0286574027076515,0.226615348823388
"14","ES_14","Armitage2007","Armitage_Taylor","Armitage2007ffm","Armitage2007ffm_1",1,"Programmed aortic dysfunction and reduced Na+, K+ -ATPase activity present in first generation offspring of lard-fed rats does not persist to the second generation.","Experimental Physiology",2007,"Rat","SD","One-off","Female","RM3lard","Special Diet Services UK RM3 added lard; Khan et al. 2003; ""lard-rich diet comprising the control diet premix supplemented with 20% (w/w) animal lard (Special Diet Services)""",19.5,41.3,25.7,4.745,16.4,34.8,48.7,0.472,0.291,-10,42,52,"10 days before mating, gestation, lactation","F2","Male","f-f-m",180,"Standard","Body_Weight","None","g",469.7,39.1571194,14.8,7,"Exact",500.1,64.91,26.5,6,"Exact","Table 2","Control Diet F2 (Control), Fat-rich diet F2 (Treatment)",NA,0.0627138853919087,0.00380059581472628,0.459372221118329,0.18713392914806
"15","ES_15","CastroBarbosa2016","CastroBarbosa_Zierath_Barres","CastroBarbosa2016mfmfM","CastroBarbosa2016mfmfM_1",1,"High-fat diet reprograms the epigenome of rat spermatozoa and transgenerationally affects metabolism of the offspring","Mol Metab",2016,"Rat","SD","Multigenerational","Male","TD88137","Harlam/Teklad; manufacturer; ""high-fat diet (HFD; TD.88137/TD.08811, 42/45% energy from fat)""",17.3,48.5,21.2,4.5,15.2,42.7,42,0.356701030927835,0.248206599713056,-84,0,84,"12 weeks before mating","F2","Female","m-fm-f",84,"HFD","Adiposity","Brown Adipose Tissue","g",0.4084,0.115828321234489,0.0518,5,"Exact",0.5207,0.0704361412912434,0.0315,5,"Exact","Supp Table T4","GpatCD-CD(Control), GpatHF-HF(Treatment)",NA,0.242926973878343,0.0197471851385368,-0.740329577312192,0.269747185138537
"16","ES_16","CastroBarbosa2016","CastroBarbosa_Zierath_Barres","CastroBarbosa2016mfmfM","CastroBarbosa2016mfmfM_2",2,"High-fat diet reprograms the epigenome of rat spermatozoa and transgenerationally affects metabolism of the offspring","Mol Metab",2016,"Rat","SD","Multigenerational","Male","TD88137","Harlam/Teklad; manufacturer; ""high-fat diet (HFD; TD.88137/TD.08811, 42/45% energy from fat)""",17.3,48.5,21.2,4.5,15.2,42.7,42,0.356701030927835,0.248206599713056,-84,0,84,"12 weeks before mating","F2","Female","m-fm-f",84,"HFD","Adiposity","Mesenteric White Adipose Tissue","g",4.5,2.01246117974981,0.9,5,"Exact",5.9,2.01246117974981,0.9,5,"Exact","Supp Table T4","GpatCD-CD(Control), GpatHF-HF(Treatment)",NA,0.2708749541354,0.0632691755242746,-0.2708749541354,0.313269175524275
"17","ES_17","CastroBarbosa2016","CastroBarbosa_Zierath_Barres","CastroBarbosa2016mfmfM","CastroBarbosa2016mfmfM_3",3,"High-fat diet reprograms the epigenome of rat spermatozoa and transgenerationally affects metabolism of the offspring","Mol Metab",2016,"Rat","SD","Multigenerational","Male","TD88137","Harlam/Teklad; manufacturer; ""high-fat diet (HFD; TD.88137/TD.08811, 42/45% energy from fat)""",17.3,48.5,21.2,4.5,15.2,42.7,42,0.356701030927835,0.248206599713056,-84,0,84,"12 weeks before mating","F2","Female","m-fm-f",84,"HFD","Adiposity","Gonadal WAT","g",4.6,1.11803398874989,0.5,5,"Exact",9.2,2.01246117974981,0.9,5,"Exact","Supp Table T4","GpatCD-CD(Control), GpatHF-HF(Treatment)",NA,0.693147180559945,0.0213846880907371,-0.105360515657822,0.271384688090737
"18","ES_18","CastroBarbosa2016","CastroBarbosa_Zierath_Barres","CastroBarbosa2016mfmfM","CastroBarbosa2016mfmfM_4",4,"High-fat diet reprograms the epigenome of rat spermatozoa and transgenerationally affects metabolism of the offspring","Mol Metab",2016,"Rat","SD","Multigenerational","Male","TD88137","Harlam/Teklad; manufacturer; ""high-fat diet (HFD; TD.88137/TD.08811, 42/45% energy from fat)""",17.3,48.5,21.2,4.5,15.2,42.7,42,0.356701030927835,0.248206599713056,-84,0,84,"12 weeks before mating","F2","Female","m-fm-f",84,"HFD","Adiposity","Retroperitoneal WAT","g",4.1,0.670820393249937,0.3,5,"Exact",11.6,2.23606797749979,1,5,"Exact","Supp Table T4","GpatCD-CD(Control), GpatHF-HF(Treatment)",NA,1.04001812440206,0.0127855849916638,0.163954679923879,0.262785584991664
"19","ES_19","CastroBarbosa2016","CastroBarbosa_Zierath_Barres","CastroBarbosa2016mfmfM","CastroBarbosa2016mfmfM_1",1,"High-fat diet reprograms the epigenome of rat spermatozoa and transgenerationally affects metabolism of the offspring","Mol Metab",2016,"Rat","SD","Multigenerational","Male","TD88137","Harlam/Teklad; manufacturer; ""high-fat diet (HFD; TD.88137/TD.08811, 42/45% energy from fat)""",17.3,48.5,21.2,4.5,15.2,42.7,42,0.356701030927835,0.248206599713056,-84,0,84,"12 weeks before mating","F2","Female","m-fm-f",77,"HFD","Body_Weight","None","g",269.0625,14.92481156,4.5,11,"Estimate",267.38,22.39,6.75,11,"Estimate","Fig2","GpatCD-CD(Control), GpatHF-HF(Treatment)","Paper shows weeks on cd or hfd, not the age of the animal, means we have to calculate the age and this is trick as animals subjected to a hfd were subjected at 10 weeks, no point extracting more data as we are interested in 21 days and 90",-0.00627282706707347,0.000917183820344996,0.411862224274422,0.100917183820345
"20","ES_20","CastroBarbosa2016","CastroBarbosa_Zierath_Barres","CastroBarbosa2016mfmfM","CastroBarbosa2016mfmfM_1",1,"High-fat diet reprograms the epigenome of rat spermatozoa and transgenerationally affects metabolism of the offspring","Mol Metab",2016,"Rat","SD","Multigenerational","Male","TD88137","Harlam/Teklad; manufacturer; ""high-fat diet (HFD; TD.88137/TD.08811, 42/45% energy from fat)""",17.3,48.5,21.2,4.5,15.2,42.7,42,0.356701030927835,0.248206599713056,-84,0,84,"12 weeks before mating","F2","Female","m-fm-f",154,"HFD","Body_Weight","None","g",348.5,28.5229732,8.6,11,"Estimate",374.1,31.51,9.5,11,"Estimate","Supp Table T4","GpatCD-CD(Control), GpatHF-HF(Treatment)",NA,0.0708849111535219,0.00125391755200226,0.028710204853814,0.101253917552002
"21","ES_21","CastroBarbosa2016","CastroBarbosa_Zierath_Barres","CastroBarbosa2016mfmfM","CastroBarbosa2016mfmfM_2",2,"High-fat diet reprograms the epigenome of rat spermatozoa and transgenerationally affects metabolism of the offspring","Mol Metab",2016,"Rat","SD","Multigenerational","Male","TD88137","Harlam/Teklad; manufacturer; ""high-fat diet (HFD; TD.88137/TD.08811, 42/45% energy from fat)""",17.3,48.5,21.2,4.5,15.2,42.7,42,0.356701030927835,0.248206599713056,-84,0,84,"12 weeks before mating","F2","Female","m-fm-f",84,"HFD","Glucose_FBG","FBG","mmol/L",7.1,0.793725393319377,0.3,7,"Exact",7.4,0.529150262212918,0.2,7,"Exact","Fig2D, Supplementary Data","GpatCD-CD(Control), GpatHF-HF(Treatment)",NA,0.0413852161628545,0.00251582023752925,-0.446850324271019,0.169182486904196
"22","ES_22","CastroBarbosa2016","CastroBarbosa_Zierath_Barres","CastroBarbosa2016mfmfM","CastroBarbosa2016mfmfM_2",2,"High-fat diet reprograms the epigenome of rat spermatozoa and transgenerationally affects metabolism of the offspring","Mol Metab",2016,"Rat","SD","Multigenerational","Male","TD88137","Harlam/Teklad; manufacturer; ""high-fat diet (HFD; TD.88137/TD.08811, 42/45% energy from fat)""",17.3,48.5,21.2,4.5,15.2,42.7,42,0.356701030927835,0.248206599713056,-84,0,84,"12 weeks before mating","F2","Female","m-fm-f",84,"HFD","Glucose_FBG","FBG","mmol/L",7.1,0.793725393319377,0.3,7,"Exact",7,0.52915,0.2,7,"Exact","Fig2D, Supplementary Data","GpatCD-CD(Control), GpatHF-CD(Treatment)",NA,-0.0141846349919564,0.00260168576918394,-0.391280968652168,0.169268352435851
"23","ES_23","CastroBarbosa2016","CastroBarbosa_Zierath_Barres","CastroBarbosa2016mfmfM","CastroBarbosa2016mfmfM_1",1,"High-fat diet reprograms the epigenome of rat spermatozoa and transgenerationally affects metabolism of the offspring","Mol Metab",2016,"Rat","SD","Multigenerational","Male","TD88137","Harlam/Teklad; manufacturer; ""high-fat diet (HFD; TD.88137/TD.08811, 42/45% energy from fat)""",17.3,48.5,21.2,4.5,15.2,42.7,42,0.356701030927835,0.248206599713056,-84,0,84,"12 weeks before mating","F2","Female","m-fm-f",84,"HFD","Glucose_TT","GTT","mmol/L",1294.93671237342,318.427402034781,142.405063369685,5,"Exact",2294.8093220339,503.115294937454,225,5,"Exact","Fig2D, Supplementary Data","GpatCD-CD(Control), GpatHF-HF(Treatment)","Amalgamated",0.572187932776575,0.0217068343627617,-0.114763086289263,0.271706834362762
"24","ES_24","CastroBarbosa2016","CastroBarbosa_Zierath_Barres","CastroBarbosa2016mfmfM","CastroBarbosa2016mfmfM_1",1,"High-fat diet reprograms the epigenome of rat spermatozoa and transgenerationally affects metabolism of the offspring","Mol Metab",2016,"Rat","SD","Multigenerational","Male","TD88137","Harlam/Teklad; manufacturer; ""high-fat diet (HFD; TD.88137/TD.08811, 42/45% energy from fat)""",17.3,48.5,21.2,4.5,15.2,42.7,42,0.356701030927835,0.248206599713056,-84,0,84,"12 weeks before mating","F2","Female","m-fm-f",84,"HFD","Insulin_TT","ITT","ng/ml",272.3529412,85.49671679,38.23529412,5,"Estimate",457.6470588,165.7320972,74.11764706,5,"Estimate","Fig2E","GpatCD-CD(Control), GpatHF-HF(Treatment)",NA,0.518999469954351,0.0459380163008152,0.142895167329848,0.295938016300815
"25","ES_25","CastroBarbosa2016","CastroBarbosa_Zierath_Barres","CastroBarbosa2016mfmfM","CastroBarbosa2016mfmfM_1",1,"High-fat diet reprograms the epigenome of rat spermatozoa and transgenerationally affects metabolism of the offspring","Mol Metab",2016,"Rat","SD","Multigenerational","Male","TD88137","Harlam/Teklad; manufacturer; ""high-fat diet (HFD; TD.88137/TD.08811, 42/45% energy from fat)""",17.3,48.5,21.2,4.5,15.2,42.7,42,0.356701030927835,0.248206599713056,-84,0,84,"12 weeks before mating","F2","Female","m-fm-f",84,"HFD","Leptin","Serum","ng/ml",10.4,3.96862696659689,1.5,7,"Estimate",13.1,4.23320209770335,1.6,7,"Estimate","Supp","GpatCD-CD(Control), GpatHF-HF(Treatment)",NA,0.230806424059779,0.0357200603904754,-0.166267902922208,0.202386727057142
"26","ES_26","CastroBarbosa2016","CastroBarbosa_Zierath_Barres","CastroBarbosa2016mfmfM","CastroBarbosa2016mfmfM_1",1,"High-fat diet reprograms the epigenome of rat spermatozoa and transgenerationally affects metabolism of the offspring","Mol Metab",2016,"Rat","SD","Multigenerational","Male","TD88137","Harlam/Teklad; manufacturer; ""high-fat diet (HFD; TD.88137/TD.08811, 42/45% energy from fat)""",17.3,48.5,21.2,4.5,15.2,42.7,42,0.356701030927835,0.248206599713056,-84,0,84,"12 weeks before mating","F2","Female","m-fm-f",84,"HFD","Triglycerides","Plasma Triglyceride","ng/ml",1.1,0.529150262,0.2,7,"Estimate",2.3,0.793725393,0.3,7,"Estimate","Supp","GpatCD-CD(Control), GpatHF-HF(Treatment)",NA,0.737598943130779,0.0500710837135522,-0.332133835022615,0.216737750380219
"27","ES_27","CastroBarbosa2016","CastroBarbosa_Zierath_Barres","CastroBarbosa2016mfmfM","CastroBarbosa2016mfmfM_5",5,"High-fat diet reprograms the epigenome of rat spermatozoa and transgenerationally affects metabolism of the offspring","Mol Metab",2016,"Rat","SD","Multigenerational","Male","TD88137","Harlam/Teklad; manufacturer; ""high-fat diet (HFD; TD.88137/TD.08811, 42/45% energy from fat)""",17.3,48.5,21.2,4.5,15.2,42.7,42,0.356701030927835,0.248206599713056,-84,0,84,"12 weeks before mating","F2","Male","m-fm-m",84,"HFD","Adiposity","Brown Adipose Tissue","g",0.4111,0.141681756059134,0.0409,12,"Estimate",0.5884,0.189832768509549,0.0548,12,"Estimate","Supp Table T6","GpatCD-CD(Control), GpatHF-HF(Treatment)",NA,0.35857049482345,0.0185720235389655,-0.0660103639182346,0.109481114448056
"28","ES_28","CastroBarbosa2016","CastroBarbosa_Zierath_Barres","CastroBarbosa2016mfmfM","CastroBarbosa2016mfmfM_6",6,"High-fat diet reprograms the epigenome of rat spermatozoa and transgenerationally affects metabolism of the offspring","Mol Metab",2016,"Rat","SD","Multigenerational","Male","TD88137","Harlam/Teklad; manufacturer; ""high-fat diet (HFD; TD.88137/TD.08811, 42/45% energy from fat)""",17.3,48.5,21.2,4.5,15.2,42.7,42,0.356701030927835,0.248206599713056,-84,0,84,"12 weeks before mating","F2","Male","m-fm-m",84,"HFD","Adiposity","Mesenteric White Adipose Tissue","g",5.6,1.73205080756888,0.5,12,"Estimate",10.2,4.15692193816531,1.2,12,"Estimate","Supp Table T6","GpatCD-CD(Control), GpatHF-HF(Treatment)",NA,0.599621122549122,0.0218127692253373,0.275847614804778,0.112721860134428
"29","ES_29","CastroBarbosa2016","CastroBarbosa_Zierath_Barres","CastroBarbosa2016mfmfM","CastroBarbosa2016mfmfM_7",7,"High-fat diet reprograms the epigenome of rat spermatozoa and transgenerationally affects metabolism of the offspring","Mol Metab",2016,"Rat","SD","Multigenerational","Male","TD88137","Harlam/Teklad; manufacturer; ""high-fat diet (HFD; TD.88137/TD.08811, 42/45% energy from fat)""",17.3,48.5,21.2,4.5,15.2,42.7,42,0.356701030927835,0.248206599713056,-84,0,84,"12 weeks before mating","F2","Male","m-fm-m",84,"HFD","Adiposity","Gonadal WAT","g",9.2,3.11769145362398,0.9,12,"Estimate",20.8,6.23538290724796,1.8,12,"Estimate","Supp Table T6","GpatCD-CD(Control), GpatHF-HF(Treatment)",NA,0.815749502652278,0.0170588486146687,-0.122602322092333,0.10796793952376
"30","ES_30","CastroBarbosa2016","CastroBarbosa_Zierath_Barres","CastroBarbosa2016mfmfM","CastroBarbosa2016mfmfM_8",8,"High-fat diet reprograms the epigenome of rat spermatozoa and transgenerationally affects metabolism of the offspring","Mol Metab",2016,"Rat","SD","Multigenerational","Male","TD88137","Harlam/Teklad; manufacturer; ""high-fat diet (HFD; TD.88137/TD.08811, 42/45% energy from fat)""",17.3,48.5,21.2,4.5,15.2,42.7,42,0.356701030927835,0.248206599713056,-84,0,84,"12 weeks before mating","F2","Male","m-fm-m",84,"HFD","Adiposity","Retroperitoneal WAT","g",9.41,2.97912738901847,0.86,12,"Estimate",26,7.27461339178928,2.1,12,"Estimate","Supp Table T6","GpatCD-CD(Control), GpatHF-HF(Treatment)",NA,1.01632358442419,0.0148761911663576,-0.123563349960234,0.105785282075449
